code_muni;Munícipio;Total de óbitos;Mulheres;Homens;Número de casos;Taxa de Letalidade;;
3304557;RIO DE JANEIRO;11197;4958.0;6239.0;118433;9.45;;
3304904;SAO GONCALO;727;305.0;422.0;14813;4.91;;
3301702;DUQUE DE CAXIAS;725;340.0;385.0;10874;6.67;;
3303500;NOVA IGUACU;610;291.0;318.0;7758;7.86;;
3305109;SAO JOAO DE MERITI;454;201.0;253.0;3935;11.54;;
3303302;NITEROI;444;200.0;244.0;15566;2.85;;
3301009;CAMPOS DOS GOYTACAZES;387;162.0;225.0;7687;5.03;;
3300456;BELFORD ROXO;298;126.0;172.0;11147;2.67;;
3302502;MAGE;230;101.0;129.0;4417;5.21;;
3301900;ITABORAI;224;93.0;131.0;5012;4.47;;
3303906;PETROPOLIS;221;96.0;125.0;2848;7.76;;
3306305;VOLTA REDONDA;215;84.0;131.0;7433;2.89;;
3300100;ANGRA DOS REIS;190;92.0;98.0;6224;3.05;;
3303203;NILOPOLIS;189;83.0;106.0;1578;11.98;;
3302858;MESQUITA;179;73.0;106.0;1873;9.56;;
3300209;BARRA MANSA;161;77.0;84.0;3615;4.45;;
3302403;MACAE;154;72.0;82.0;9341;1.65;;
3305802;TERESOPOLIS;148;73.0;75.0;7404;2.00;;
3300704;CABO FRIO;148;56.0;92.0;2938;5.04;;
3303401;NOVA FRIBURGO;136;47.0;89.0;3776;3.60;;
3302700;MARICA;125;52.0;73.0;3987;3.14;;
3302007;ITAGUAI;125;61.0;64.0;2691;4.65;;
3304201;RESENDE;98;32.0;66.0;3098;3.16;;
3304524;RIO DAS OSTRAS;81;39.0;42.0;2422;3.34;;
3302205;ITAPERUNA;72;32.0;40.0;3106;2.32;;
3300209;ARARUAMA;67;30.0;37.0;1736;3.86;;
3304144;QUEIMADOS;67;30.0;37.0;2692;2.49;;
3305505;SAQUAREMA;65;17.0;48.0;1247;5.21;;
3306008;TRES RIOS;65;34.0;31.0;3298;1.97;;
3301850;GUAPIMIRIM;65;34.0;31.0;2122;3.06;;
3304300;RIO BONITO;60;31.0;29.0;2157;2.78;;
3305554;SEROPEDICA;59;25.0;34.0;901;6.55;;
3300308;BARRA DO PIRAI;58;22.0;36.0;1261;4.60;;
3305208;SAO PEDRO DA ALDEIA;52;19.0;33.0;1419;3.66;;
3305752;TANGUA;42;21.0;21.0;929;4.52;;
3302601;MANGARATIBA;38;15.0;23.0;1132;3.36;;
3301876;IGUABA GRANDE;36;16.0;20.0;3106;1.16;;
3303807;PARATY;34;13.0;21.0;1029;3.30;;
3303609;PARACAMBI;34;18.0;16.0;899;3.78;;
3302270;JAPERI;32;18.0;14.0;622;5.14;;
3300803;CACHOEIRAS DE MACACU;31;12.0;19.0;697;4.45;;
3305406;SAPUCAIA;27;6.0;21.0;667;4.05;;
3306206;VASSOURAS;26;10.0;16.0;859;3.03;;
3304805;SAO FIDELIS;25;13.0;12.0;7758;0.32;;
3302106;ITAOCARA;25;12.0;13.0;416;6.01;;
3301306;CASIMIRO DE ABREU;24;11.0;13.0;1194;2.01;;
3303708;PARAIBA DO SUL;24;10.0;14.0;1101;2.18;;
3300605;BOM JESUS DO ITABAPOANA;23;9.0;14.0;847;2.72;;
3304755;SAO FRANCISCO DE ITABAPOANA;22;10.0;12.0;634;3.47;;
3304102;PORCIUNCULA;19;9.0;10.0;697;2.73;;
3304706;SANTO ANTONIO DE PADUA;19;14.0;5.0;1249;1.52;;
3305158;SAO JOSE DO VALE DO RIO PRETO;19;8.0;11.0;496;3.83;;
3306107;VALENCA;18;11.0;7.0;756;2.38;;
3304110;PORTO REAL;17;8.0;9.0;468;3.63;;
3304151;QUISSAMA;17;8.0;9.0;558;3.05;;
3303955;PINHEIRAL;16;8.0;8.0;560;2.86;;
3304409;RIO CLARO;15;5.0;10.0;318;4.72;;
3301405;CONCEICAO DE MACABU;15;7.0;8.0;767;1.96;;
3302908;MIGUEL PEREIRA;14;8.0;6.0;305;4.59;;
3300233;ARMACAO DOS BUZIOS;14;3.0;11.0;577;2.43;;
3304003;PIRAI;13;7.0;6.0;834;1.56;;
3302254;ITATIAIA;12;8.0;4.0;428;2.80;;
3305000;SAO JOAO DA BARRA;12;4.0;8.0;1285;0.93;;
3302056;ITALVA;12;8.0;4.0;368;3.26;;
3305703;SUMIDOURO;12;5.0;7.0;211;5.69;;
3305604;SILVA JARDIM;9;4.0;5.0;293;3.07;;
3300225;AREAL;8;5.0;3.0;277;2.89;;
3300159;APERIBE;7;2.0;5.0;205;3.41;;
3300258;ARRAIAL DO CABO;6;1.0;5.0;235;2.55;;
3303856;PATY DO ALFERES;6;2.0;4.0;197;3.05;;
3303005;MIRACEMA;5;2.0;3.0;527;0.95;;
3304607;SANTA MARIA MADALENA;5;2.0;3.0;123;4.07;;
3300902;CAMBUCI;5;2.0;3.0;214;2.34;;
3303104;NATIVIDADE;5;1.0;4.0;632;0.79;;
3301207;CARMO;4;3.0;1.0;261;1.53;;
3300936;CARAPEBUS;4;2.0;2.0;344;1.16;;
3300506;BOM JARDIM;4;3.0;1.0;204;1.96;;
3304508;RIO DAS FLORES;4;2.0;2.0;29;13.79;;
3301801;ENGENHEIRO PAULO DE FRONTIN;3;1.0;2.0;228;1.32;;
3300951;COMENDADOR LEVY GASPARIAN;3;0.0;3.0;168;1.79;;
3301603;DUAS BARRAS;3;1.0;2.0;78;3.85;;
3304409;SAO JOSE DE UBA;3;2.0;1.0;150;2.00;;
3302452;MACUCO;3;1.0;2.0;121;2.48;;
3302809;MENDES;2;0.0;2.0;283;0.71;;
3304128;QUATIS;2;2.0;0.0;171;1.17;;
3301108;CANTAGALO;2;0.0;2.0;394;0.51;;
3306156;VARRE-SAI;2;1.0;1.0;713;0.28;;
3301157;CARDOSO MOREIRA;2;2.0;0.0;410;0.49;;
3302304;LAJE DO MURIAE;1;1.0;0.0;350;0.29;;
3305307;SAO SEBASTIAO DO ALTO;1;0.0;1.0;88;1.14;;
3301504;CORDEIRO;1;1.0;0.0;408;0.25;;
