MUNICIPIOS;Cultura;Tipo;Ano;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);FATURAMENTO BRUTO(R$)
Duas Barras ;Abacate;Fruticultura;2019;27;23.6;1.4;1.4697;16.86;34.685.00
Rio de Janeiro ;Abacate;Fruticultura;2019;28;122.19;16.18;1.1493;7.55;140.429.40
Trajano de Morais ;Abacate;Fruticultura;2019;10;30;2;1.6;15;48.000.00
Varre-Sai ;Abacate;Fruticultura;2019;1;21;9;2;2.33;42.000.00
Cachoeiras de Macacu ;Abacaxi;Fruticultura;2019;2;22.5;0.8;0.8;28.13;18.000.00
Campos dos Goytacases ;Abacaxi;Fruticultura;2019;197;4.710.00;242;1.3866;19.46;6.530.750.00
São Francisco de Itabapoana ;Abacaxi;Fruticultura;2019;409;101.780.00;4.056.00;1.1704;25.09;119.120.000.00
São João da Barra ;Abacaxi;Fruticultura;2019;141;9.371.00;304;1.6156;30.83;15.139.890.00
São Pedro da Aldeia ;Abacaxi;Fruticultura;2019;2;49;2.25;1.9347;21.78;94.800.00
Silva Jardim ;Abacaxi;Fruticultura;2019;9;114;7;2.4123;16.29;275.000.00
Araruama ;Acerola;Fruticultura;2019;5;22.65;3.5;1.15;6.47;26.047.50
Cachoeiras de Macacu ;Acerola;Fruticultura;2019;1;4.8;2.5;10;1.92;48.000.00
Angra dos Reis ;Banana;Fruticultura;2019;33;204;26.5;3.5;7.7;714.000.00
Areal ;Banana;Fruticultura;2019;2;48.34;6.27;1.7286;7.71;83.559.60
Barra do Pirai ;Banana;Fruticultura;2019;6;71.65;6;2.964;11.94;212.369.00
Cambuci ;Banana;Fruticultura;2019;30;778;40;1.3465;19.45;1.047.550.00
Casimiro de Abreu ;Banana;Fruticultura;2019;112;1.690.00;180;1.2379;9.39;2.092.000.00
Comendador Levy Gasparian ;Banana;Fruticultura;2019;3;48.39;6.2;1.689;7.8;81.730.80
Conceição de Macabu ;Banana;Fruticultura;2019;17;113;12.5;2.1615;9.04;244.250.00
Guapimirim ;Banana;Fruticultura;2019;40;1.196.00;167;1.5568;7.16;1.861.900.00
Itaboraí ;Banana;Fruticultura;2019;14;302.26;27.9;0.9883;10.83;298.710.00
Itaguaí ;Banana;Fruticultura;2019;80;1.840.00;320;1.481;5.75;2.725.000.00
Italva ;Banana;Fruticultura;2019;10;222;25;1.2832;8.88;284.860.00
Laje do Muriae ;Banana;Fruticultura;2019;2;9.5;0.8;1.8947;11.88;18.000.00
Macaé ;Banana;Fruticultura;2019;10;542.9;30;2.1336;18.1;1.158.332.00
Magé ;Banana;Fruticultura;2019;24;436;61;1.9388;7.15;845.300.00
Maricá ;Banana;Fruticultura;2019;9;114.5;10.5;0.8886;10.9;101.750.00
Mendes ;Banana;Fruticultura;2019;5;80.35;12;2.8007;6.7;225.037.50
Miracema ;Banana;Fruticultura;2019;6;249.24;28.08;2.4401;8.88;608.174.50
Natividade ;Banana;Fruticultura;2019;1;6.53;1;1.4234;6.53;9.295.00
Paracambi ;Banana;Fruticultura;2019;60;436.5;65;2.1993;6.72;960.000.00
Paraty ;Banana;Fruticultura;2019;280;1.439.00;180;5.0651;7.99;7.288.700.00
Petrópolis ;Banana;Fruticultura;2019;31;218.5;18.9;1.7068;11.56;372.925.00
Porciúncula ;Banana;Fruticultura;2019;18;287;16;1.0333;17.94;296.550.00
Porto Real ;Banana;Fruticultura;2019;4;73.8;11.5;3.3169;6.42;244.785.00
Quatis ;Banana;Fruticultura;2019;4;73;12;2.7627;6.08;201.675.00
Rio das Flores ;Banana;Fruticultura;2019;4;18.15;1.4;1.7076;12.96;30.992.50
Rio das Ostras ;Banana;Fruticultura;2019;7;33.2;10.2;1.8438;3.25;61.213.00
Santo Antônio de Pádua ;Banana;Fruticultura;2019;22;140.4;13;2.0692;10.8;290.520.00
São Fidélis ;Banana;Fruticultura;2019;33;138.72;21.28;0.677;6.52;93.911.50
Seropédica ;Banana;Fruticultura;2019;129;2.997.00;727;0.9914;4.12;2.971.150.00
Tanguá ;Banana;Fruticultura;2019;12;120.9;10;1.0382;12.09;125.515.00
Três Rios ;Banana;Fruticultura;2019;4;41.82;4.6;1.7319;9.09;72.427.40
Valença ;Banana;Fruticultura;2019;23;509.65;92.04;3.3006;5.54;1.682.166.00
Bom Jardim ;Banana Nanica;Fruticultura;2019;170;946;75;0.6194;12.61;585.970.00
Bom Jesus do Itabapoana ;Banana Nanica;Fruticultura;2019;4;55.5;4.9;0.5143;11.33;28.545.00
Cachoeiras de Macacu ;Banana Nanica;Fruticultura;2019;30;236;23.7;0.914;9.96;215.700.00
Campos dos Goytacases ;Banana Nanica;Fruticultura;2019;54;253;24.5;1.1762;10.33;297.570.00
Cordeiro ;Banana Nanica;Fruticultura;2019;2;45;3.6;1.1667;12.5;52.500.00
Duque de Caxias ;Banana Nanica;Fruticultura;2019;15;311;51;2.5828;6.1;803.250.00
Engenheiro Paulo de Frontin ;Banana Nanica;Fruticultura;2019;15;86.5;10.7;1.7526;8.08;151.600.00
Japeri ;Banana Nanica;Fruticultura;2019;65;583;57;0.7786;10.23;453.900.00
Macaé ;Banana Nanica;Fruticultura;2019;38;688;109.1;0.4798;6.31;330.100.00
Niterói ;Banana Nanica;Fruticultura;2019;3;33;3;1.95;11;64.350.00
Nova Friburgo ;Banana Nanica;Fruticultura;2019;84;1.214.45;102;1.7422;11.91;2.115.770.00
Nova Iguaçu ;Banana Nanica;Fruticultura;2019;135;777;115;0.757;6.76;588.170.00
Pinheiral ;Banana Nanica;Fruticultura;2019;13;423.5;36.3;1.8809;11.67;796.561.00
Piraí ;Banana Nanica;Fruticultura;2019;30;1.894.20;239.61;1.7013;7.91;3.222.577.00
Queimados ;Banana Nanica;Fruticultura;2019;22;102.5;6.02;0.9268;17.03;95.000.00
Rio Bonito ;Banana Nanica;Fruticultura;2019;70;1.785.00;124;0.8479;14.4;1.513.500.00
Rio Claro ;Banana Nanica;Fruticultura;2019;8;1.484.73;108.7;2.0034;13.66;2.974.494.50
Rio de Janeiro ;Banana Nanica;Fruticultura;2019;45;629.73;54.6;0.877;11.53;552.282.00
Santa Maria Madalena ;Banana Nanica;Fruticultura;2019;24;7.960.57;568.52;1.4079;14;11.207.684.10
São Gonçalo ;Banana Nanica;Fruticultura;2019;15;88;8;1.9195;11;168.916.00
Silva Jardim ;Banana Nanica;Fruticultura;2019;52;1.510.00;120;0.7868;12.58;1.188.000.00
Sumidouro ;Banana Nanica;Fruticultura;2019;48;2.171.20;158;1.0684;13.74;2.319.752.00
Trajano de Morais ;Banana Nanica;Fruticultura;2019;92;3.812.00;317;1.5497;12.03;5.907.440.00
Varre-Sai ;Banana Nanica;Fruticultura;2019;3;36.5;6;0.9975;6.08;36.410.00
Vassouras ;Banana Nanica;Fruticultura;2019;7;40.1;3.6;2.2057;11.14;88.450.00
Armação dos Búzios ;Banana Prata;Fruticultura;2019;4;36.3;3;2.8711;12.1;104.220.00
Bom Jardim ;Banana Prata;Fruticultura;2019;85;242;24;0.8986;10.08;217.470.00
Cabo Frio ;Banana Prata;Fruticultura;2019;7;88;9;2.777;9.78;244.375.00
Cachoeiras de Macacu ;Banana Prata;Fruticultura;2019;70;1.574.00;147;1.0175;10.71;1.601.600.00
Campos dos Goytacases ;Banana Prata;Fruticultura;2019;56;251;24.8;1.6508;10.12;414.350.00
Carmo ;Banana Prata;Fruticultura;2019;5;14.12;1.22;1.6357;11.57;23.095.70
Cordeiro ;Banana Prata;Fruticultura;2019;2;72;6.3;1.3;11.43;93.600.00
Duas Barras ;Banana Prata;Fruticultura;2019;55;811;61.6;1.434;13.17;1.162.950.00
Duque de Caxias ;Banana Prata;Fruticultura;2019;20;639;90.5;3.3375;7.06;2.132.650.00
Engenheiro Paulo de Frontin ;Banana Prata;Fruticultura;2019;19;160.5;18.35;1.9414;8.75;311.600.00
Iguaba Grande ;Banana Prata;Fruticultura;2019;3;20.1;2;3.3159;10.05;66.650.00
Itaperuna ;Banana Prata;Fruticultura;2019;2;120.9;9.4;1.3955;12.86;168.720.00
Japeri ;Banana Prata;Fruticultura;2019;99;850;69;0.867;12.32;736.940.00
Laje do Muriae ;Banana Prata;Fruticultura;2019;3;29.2;1.75;1.8527;16.69;54.100.00
Macaé ;Banana Prata;Fruticultura;2019;47;640;112.11;0.5287;5.71;338.350.00
Mangaratiba ;Banana Prata;Fruticultura;2019;240;20.204.00;2.830.00;1.5112;7.14;30.532.000.00
Maricá ;Banana Prata;Fruticultura;2019;30;136.12;19.5;0.8589;6.98;116.918.00
Natividade ;Banana Prata;Fruticultura;2019;1;16.58;1;1.3718;16.58;22.745.00
Niterói ;Banana Prata;Fruticultura;2019;2;16;2;2.5835;8;41.336.00
Nova Friburgo ;Banana Prata;Fruticultura;2019;60;675.3;60;2.2019;11.26;1.486.975.00
Nova Iguaçu ;Banana Prata;Fruticultura;2019;96;499;78;0.8718;6.4;435.010.00
Paraíba do Sul ;Banana Prata;Fruticultura;2019;12;311.3;28.49;2.0147;10.93;627.183.00
Pinheiral ;Banana Prata;Fruticultura;2019;13;753.3;108.22;2.4558;6.96;1.849.935.00
Piraí ;Banana Prata;Fruticultura;2019;30;801.25;133.08;2.2029;6.02;1.765.062.50
Queimados ;Banana Prata;Fruticultura;2019;22;113.75;8.72;0.9217;13.04;104.839.50
Rio Bonito ;Banana Prata;Fruticultura;2019;52;1.032.00;86;1.0233;12;1.056.000.00
Rio Claro ;Banana Prata;Fruticultura;2019;14;591.45;136.9;1.8593;4.32;1.099.666.00
Rio das Flores ;Banana Prata;Fruticultura;2019;4;7.5;1.2;1.722;6.25;12.915.00
Rio de Janeiro ;Banana Prata;Fruticultura;2019;103;3.257.60;417.72;1.1421;7.8;3.720.652.00
Santa Maria Madalena ;Banana Prata;Fruticultura;2019;10;2.640.00;240;1.8164;11;4.795.296.00
São Gonçalo ;Banana Prata;Fruticultura;2019;10;48;6;2.4345;8;116.856.00
São José do Vale do Rio Preto ;Banana Prata;Fruticultura;2019;12;150;12;1.2007;12.5;180.110.00
São Pedro da Aldeia ;Banana Prata;Fruticultura;2019;15;150.6;15;3.2967;10.04;496.480.00
Saquarema ;Banana Prata;Fruticultura;2019;210;2.660.00;502;1.1664;5.3;3.102.500.00
Silva Jardim ;Banana Prata;Fruticultura;2019;43;771;142;1.0759;5.43;829.500.00
Sumidouro ;Banana Prata;Fruticultura;2019;112;2.520.00;252;1.3822;10;3.483.200.00
Trajano de Morais ;Banana Prata;Fruticultura;2019;51;1.993.46;165.6;2.0303;12.04;4.047.347.00
Vassouras ;Banana Prata;Fruticultura;2019;14;99;9.65;2.2616;10.26;223.900.00
São Pedro da Aldeia ;Caju;Fruticultura;2019;1;4.7;0.6;1.9064;7.83;8.960.00
Cordeiro ;Caqui;Fruticultura;2019;1;570;19;3.1842;30;1.815.000.00
Duas Barras ;Caqui;Fruticultura;2019;14;469;22.5;1.1284;20.84;529.200.00
Mangaratiba ;Caqui;Fruticultura;2019;28;312;28;2.0353;11.14;635.000.00
Nova Friburgo ;Caqui;Fruticultura;2019;41;929;41;2.1413;22.66;1.989.300.00
Rio de Janeiro ;Caqui;Fruticultura;2019;59;655;40;1.4977;16.38;981.000.00
São Gonçalo ;Caqui;Fruticultura;2019;11;51;7.5;2.4904;6.8;127.010.00
São José do Vale do Rio Preto ;Caqui;Fruticultura;2019;10;6.150.00;205;0.5177;30;3.183.600.00
Sumidouro ;Caqui;Fruticultura;2019;123;4.630.00;198;2.3991;23.38;11.107.940.00
Trajano de Morais ;Caqui;Fruticultura;2019;24;170;17;2.3265;10;395.500.00
Valença ;Caqui;Fruticultura;2019;2;12.1;0.6;3.6157;20.17;43.750.00
Varre-Sai ;Caqui;Fruticultura;2019;6;27;10;2.5;2.7;67.500.00
Aperibé ;Coco Verde;Fruticultura;2019;6;80;5;1.34;16;107.200.00
Araruama ;Coco Verde;Fruticultura;2019;18;2.193.00;80;1.7277;27.41;3.788.850.00
Armação dos Búzios ;Coco Verde;Fruticultura;2019;2;16.5;1;2.9509;16.5;48.690.00
Cabo Frio ;Coco Verde;Fruticultura;2019;5;129;9;2.8589;14.33;368.800.00
Cachoeiras de Macacu ;Coco Verde;Fruticultura;2019;13;619;88;1.4661;7.03;907.500.00
Campos dos Goytacases ;Coco Verde;Fruticultura;2019;54;158;12.2;1.2703;12.95;200.700.00
Carapebus ;Coco Verde;Fruticultura;2019;3;38.5;3.5;1.0279;11;39.575.00
Duque de Caxias ;Coco Verde;Fruticultura;2019;4;107.9;8.95;2.0667;12.06;223.000.00
Guapimirim ;Coco Verde;Fruticultura;2019;5;202;28.8;1.198;7.01;242.000.00
Itaboraí ;Coco Verde;Fruticultura;2019;8;41.31;3.86;1.0387;10.7;42.909.00
Itaguaí ;Coco Verde;Fruticultura;2019;30;2.550.00;110;1.0257;23.18;2.615.500.00
Italva ;Coco Verde;Fruticultura;2019;8;376;12;1.3337;31.33;501.486.00
Itaocara ;Coco Verde;Fruticultura;2019;10;130;8;1.4346;16.25;186.500.00
Itaperuna ;Coco Verde;Fruticultura;2019;6;145.2;9.8;1.2187;14.82;176.960.00
Japeri ;Coco Verde;Fruticultura;2019;38;764;45;0.9641;16.98;736.600.00
Magé ;Coco Verde;Fruticultura;2019;11;115;11.5;1.9035;10;218.900.00
Mangaratiba ;Coco Verde;Fruticultura;2019;14;193;11;1.7777;17.55;343.100.00
Maricá ;Coco Verde;Fruticultura;2019;7;31.22;21.1;0.7945;1.48;24.805.50
Natividade ;Coco Verde;Fruticultura;2019;4;84.9;6;1.1837;14.15;100.500.00
Nova Iguaçu ;Coco Verde;Fruticultura;2019;19;320;24;0.9407;13.33;301.020.00
Paracambi ;Coco Verde;Fruticultura;2019;3;6;4;2;1.5;12.000.00
Quissamã ;Coco Verde;Fruticultura;2019;50;16.450.00;700;0.4959;23.5;8.157.500.00
Rio Bonito ;Coco Verde;Fruticultura;2019;51;3.710.00;165;1.1434;22.48;4.242.000.00
Rio das Ostras ;Coco Verde;Fruticultura;2019;4;48.2;3.5;0.975;13.77;46.994.00
Rio de Janeiro ;Coco Verde;Fruticultura;2019;56;5.030.00;324;0.9474;15.52;4.765.600.00
Santo Antônio de Pádua ;Coco Verde;Fruticultura;2019;9;180;9;1.8;20;324.000.00
São Fidélis ;Coco Verde;Fruticultura;2019;6;427.96;30;1.5;14.27;641.940.00
São Francisco de Itabapoana ;Coco Verde;Fruticultura;2019;42;188;77;1.0521;2.44;197.800.00
São Gonçalo ;Coco Verde;Fruticultura;2019;12;352.5;23.5;1.6119;15;568.200.00
São João da Barra ;Coco Verde;Fruticultura;2019;52;2.344.50;93;1.0611;25.21;2.487.700.00
São Pedro da Aldeia ;Coco Verde;Fruticultura;2019;3;239;7;1.118;34.14;267.200.00
Saquarema ;Coco Verde;Fruticultura;2019;30;1.649.00;111;1.4018;14.86;2.311.500.00
Seropédica ;Coco Verde;Fruticultura;2019;38;1.422.00;110;1.0442;12.93;1.484.900.00
Silva Jardim ;Coco Verde;Fruticultura;2019;11;353;23;0.9836;15.35;347.200.00
Tanguá ;Coco Verde;Fruticultura;2019;35;442.3;33;1.1458;13.4;506.785.00
Três Rios ;Coco Verde;Fruticultura;2019;1;39.77;3;1.7322;13.26;68.890.80
Duas Barras ;Figo;Fruticultura;2019;1;3.9;0.35;7.9077;11.14;30.840.00
Bom Jardim ;Goiaba;Fruticultura;2019;92;760;26;2.2559;29.23;1.714.500.00
Bom Jesus do Itabapoana ;Goiaba;Fruticultura;2019;5;231.5;6.5;2.2233;35.62;514.700.00
Cabo Frio ;Goiaba;Fruticultura;2019;5;55.6;3.6;1.7373;15.44;96.595.00
Cachoeiras de Macacu ;Goiaba;Fruticultura;2019;150;16.630.00;527;1.3446;31.56;22.360.000.00
Campos dos Goytacases ;Goiaba;Fruticultura;2019;12;63;5;0.919;12.6;57.900.00
Duas Barras ;Goiaba;Fruticultura;2019;2;17.2;0.69;3.4058;24.93;58.580.00
Duque de Caxias ;Goiaba;Fruticultura;2019;9;402;24.4;2.4649;16.48;990.900.00
Guapimirim ;Goiaba;Fruticultura;2019;9;563;42.1;2.0214;13.37;1.138.050.00
Itaguaí ;Goiaba;Fruticultura;2019;5;241;22;2.8631;10.95;690.000.00
Italva ;Goiaba;Fruticultura;2019;2;56.4;3;1.4716;18.8;83.000.00
Itaocara ;Goiaba;Fruticultura;2019;5;125;6;1.1224;20.83;140.300.00
Japeri ;Goiaba;Fruticultura;2019;1;68;2;2.4118;34;164.000.00
Magé ;Goiaba;Fruticultura;2019;21;624;26;2.4837;24;1.549.800.00
Nova Friburgo ;Goiaba;Fruticultura;2019;25;478.5;15.5;2.0399;30.87;976.075.00
Nova Iguaçu ;Goiaba;Fruticultura;2019;4;198;6;2.5;33;495.000.00
São Francisco de Itabapoana ;Goiaba;Fruticultura;2019;8;200;10;1.66;20;332.000.00
São João da Barra ;Goiaba;Fruticultura;2019;15;485.5;19.5;1.5154;24.9;735.750.00
São Sebastião do Alto ;Goiaba;Fruticultura;2019;2;30;1;1.3;30;39.000.00
Seropédica ;Goiaba;Fruticultura;2019;2;76.3;4.8;1.5976;15.9;121.900.00
Silva Jardim ;Goiaba;Fruticultura;2019;4;86;10;1.2465;8.6;107.200.00
Varre-Sai ;Goiaba;Fruticultura;2019;2;10.64;0.7;3;15.2;31.920.00
Itaocara ;Graviola;Fruticultura;2019;3;33;3;6.7273;11;222.000.00
Araruama ;Laranja;Fruticultura;2019;155;25.012.50;1.871.00;1.4648;13.37;36.638.075.00
Bom Jesus do Itabapoana ;Laranja;Fruticultura;2019;3;617.96;103;1.5306;6;945.840.00
Cabo Frio ;Laranja;Fruticultura;2019;8;52;7;2.575;7.43;133.900.00
Cachoeiras de Macacu ;Laranja;Fruticultura;2019;7;374;24.5;1.7557;15.27;656.650.00
Carapebus ;Laranja;Fruticultura;2019;3;37;5;1.2709;7.4;47.025.00
Casimiro de Abreu ;Laranja;Fruticultura;2019;19;201.5;26;1.6846;7.75;339.450.00
Duas Barras ;Laranja;Fruticultura;2019;42;359.6;37.8;1.1437;9.51;411.260.00
Iguaba Grande ;Laranja;Fruticultura;2019;6;31.3;3.2;1.9687;9.78;61.620.00
Itaboraí ;Laranja;Fruticultura;2019;60;3.208.90;269.5;1.3191;11.91;4.232.830.00
Japeri ;Laranja;Fruticultura;2019;30;82;18;1.9354;4.56;158.700.00
Natividade ;Laranja;Fruticultura;2019;22;504;42;1.5;12;756.000.00
Niterói ;Laranja;Fruticultura;2019;4;33;3;1.8923;11;62.447.00
Porciúncula ;Laranja;Fruticultura;2019;5;2.780.00;120;1.1306;23.17;3.143.000.00
Rio Bonito ;Laranja;Fruticultura;2019;140;16.760.00;1.200.00;1.3126;13.97;21.999.500.00
Rio das Ostras ;Laranja;Fruticultura;2019;1;20;2;1.55;10;31.000.00
São Gonçalo ;Laranja;Fruticultura;2019;55;360;30;1.8296;12;658.650.00
São José de Ubá ;Laranja;Fruticultura;2019;15;65.7;7.6;1.4307;8.64;94.000.00
São Pedro da Aldeia ;Laranja;Fruticultura;2019;10;49;7;2.0929;7;102.550.00
Saquarema ;Laranja;Fruticultura;2019;10;333;39.5;1.3036;8.43;434.100.00
Silva Jardim ;Laranja;Fruticultura;2019;15;1.490.00;129;0.9866;11.55;1.470.000.00
Sumidouro ;Laranja;Fruticultura;2019;27;235;16;1.1811;14.69;277.550.00
Tanguá ;Laranja;Fruticultura;2019;250;19.125.00;1.330.00;1.3506;14.38;25.830.200.00
Varre-Sai ;Laranja;Fruticultura;2019;2;36;12;1.6667;3;60.000.00
Araruama ;Limão;Fruticultura;2019;45;6.401.00;300;1.4346;21.34;9.182.800.00
Armação dos Búzios ;Limão;Fruticultura;2019;3;35.2;2;2.8469;17.6;100.210.00
Bom Jardim ;Limão;Fruticultura;2019;30;120;6;1.6833;20;202.000.00
Cabo Frio ;Limão;Fruticultura;2019;8;86.5;5;2.702;17.3;233.725.00
Cachoeiras de Macacu ;Limão;Fruticultura;2019;70;954;48;1.4287;19.88;1.363.000.00
Carapebus ;Limão;Fruticultura;2019;3;22.5;4;1.64;5.63;36.900.00
Carmo ;Limão;Fruticultura;2019;1;3.25;0.18;1.7192;18.06;5.587.50
Duas Barras ;Limão;Fruticultura;2019;12;112.1;7.7;2.6471;14.56;296.740.00
Duque de Caxias ;Limão;Fruticultura;2019;3;39.4;3.7;2.6431;10.65;104.140.00
Engenheiro Paulo de Frontin ;Limão;Fruticultura;2019;3;7;0.2;0.9571;35;6.700.00
Iguaba Grande ;Limão;Fruticultura;2019;6;40.6;3;3.5761;13.53;145.190.00
Itaboraí ;Limão;Fruticultura;2019;9;128.18;7.6;1.2567;16.87;161.085.00
Itaocara ;Limão;Fruticultura;2019;5;78;6;1.5783;13;123.110.00
Japeri ;Limão;Fruticultura;2019;11;22.5;7;2.1;3.21;47.250.00
Mangaratiba ;Limão;Fruticultura;2019;12;224;12;2.1107;18.67;472.800.00
Maricá ;Limão;Fruticultura;2019;2;83.02;4.61;0.8108;18.01;67.310.00
Petrópolis ;Limão;Fruticultura;2019;11;222.5;19.5;1.7955;11.41;399.500.00
Piraí ;Limão;Fruticultura;2019;4;47.3;2.12;1.9822;22.31;93.760.00
