MUNICIPIOS;Cultura;Tipo;Ano;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);FATURAMENTO BRUTO(R$)
São Fidélis ;Jiló;Olerícolas Frutas;2019;65;438.25;17.27;0.9128;25.38;400.045.60
São João da Barra ;Jiló;Olerícolas Frutas;2019;30;276;18.25;1.114;15.12;307.455.00
São José do Vale do Rio Preto ;Jiló;Olerícolas Frutas;2019;197;1.825.00;73;1.0978;25;2.003.500.00
São Sebastião do Alto ;Jiló;Olerícolas Frutas;2019;84;1.760.00;80;1.8794;22;3.307.700.00
Sapucaia ;Jiló;Olerícolas Frutas;2019;40;1.000.00;40;1.2325;25;1.232.500.00
Silva Jardim ;Jiló;Olerícolas Frutas;2019;7;169;13;0.9746;13;164.700.00
Sumidouro ;Jiló;Olerícolas Frutas;2019;195;3.128.00;136;1.1261;23;3.522.335.00
Teresópolis ;Jiló;Olerícolas Frutas;2019;70;459.2;20;1.3134;22.96;603.122.00
Trajano de Morais ;Jiló;Olerícolas Frutas;2019;24;494.5;20.2;1.8503;24.48;914.980.00
Valença ;Jiló;Olerícolas Frutas;2019;6;65.28;2.82;2.5473;23.15;166.290.00
Varre-Sai ;Jiló;Olerícolas Frutas;2019;7;160;7.5;1.6091;21.33;257.450.00
Vassouras ;Jiló;Olerícolas Frutas;2019;16;187;6.55;1.9043;28.55;356.100.00
Volta Redonda ;Jiló;Olerícolas Frutas;2019;6;65.3;3.4;2.2737;19.21;148.470.00
Bom Jardim ;Maxixe;Olerícolas Frutas;2019;128;155;31;1.1226;5;174.000.00
Cachoeiras de Macacu ;Maxixe;Olerícolas Frutas;2019;27;139;16.4;1.761;8.48;244.780.00
Campos dos Goytacases ;Maxixe;Olerícolas Frutas;2019;36;104;8.2;0.812;12.68;84.450.00
Iguaba Grande ;Maxixe;Olerícolas Frutas;2019;5;2.4;2.2;1.5583;1.09;3.740.00
Magé ;Maxixe;Olerícolas Frutas;2019;15;15.25;4.3;2.941;3.55;44.850.00
Paty do Alferes ;Maxixe;Olerícolas Frutas;2019;3;93.52;7;1.8137;13.36;169.615.70
Petrópolis ;Maxixe;Olerícolas Frutas;2019;12;98;8.8;1.7194;11.14;168.500.00
São João da Barra ;Maxixe;Olerícolas Frutas;2019;110;477;45;1.4036;10.6;669.500.00
São José do Vale do Rio Preto ;Maxixe;Olerícolas Frutas;2019;84;324;27;0.9396;12;304.440.00
São Pedro da Aldeia ;Maxixe;Olerícolas Frutas;2019;11;11;8.1;1.8909;1.36;20.800.00
Seropédica ;Maxixe;Olerícolas Frutas;2019;6;12.3;2.1;0.5374;5.86;6.610.00
Duas Barras ;Melancia;Olerícolas Frutas;2019;6;8.6;0.4;0.7733;21.5;6.650.00
Angra dos Reis ;Milho Verde;Olerícolas Frutas;2019;32;127.5;14;10;9.11;1.275.000.00
Cachoeiras de Macacu ;Milho Verde;Olerícolas Frutas;2019;234;6.430.00;632;0.6444;10.17;4.143.250.00
Campos dos Goytacases ;Milho Verde;Olerícolas Frutas;2019;49;152;12.3;1.1707;12.36;177.950.00
Carmo ;Milho Verde;Olerícolas Frutas;2019;3;135.7;14.76;0.6763;9.19;91.770.00
Casimiro de Abreu ;Milho Verde;Olerícolas Frutas;2019;11;56;19;3;2.95;168.000.00
Duas Barras ;Milho Verde;Olerícolas Frutas;2019;12;23.5;3.5;0.8426;6.71;19.800.00
Guapimirim ;Milho Verde;Olerícolas Frutas;2019;58;3.630.00;303;0.5438;11.98;1.973.900.00
Itaocara ;Milho Verde;Olerícolas Frutas;2019;5;25;2.5;1;10;25.000.00
Itaperuna ;Milho Verde;Olerícolas Frutas;2019;31;185.5;18.7;2.1617;9.92;401.000.00
Japeri ;Milho Verde;Olerícolas Frutas;2019;46;270;32.8;0.6624;8.23;178.860.00
Laje do Muriae ;Milho Verde;Olerícolas Frutas;2019;1;16.5;1.35;2.7788;12.22;45.850.00
Magé ;Milho Verde;Olerícolas Frutas;2019;163;2.993.00;326;1.6719;9.18;5.004.100.00
Mangaratiba ;Milho Verde;Olerícolas Frutas;2019;9;35;8;1.0857;4.38;38.000.00
Nova Friburgo ;Milho Verde;Olerícolas Frutas;2019;44;427.25;53.9;0.8776;7.93;374.940.00
Nova Iguaçu ;Milho Verde;Olerícolas Frutas;2019;33;136;20.4;0.604;6.67;82.150.00
Petrópolis ;Milho Verde;Olerícolas Frutas;2019;17;70.5;12.3;1.7051;5.73;120.210.00
Porciúncula ;Milho Verde;Olerícolas Frutas;2019;5;13.8;1.7;2.7217;8.12;37.560.00
Queimados ;Milho Verde;Olerícolas Frutas;2019;4;9.95;0.76;0.9975;13.09;9.925.00
Rio Bonito ;Milho Verde;Olerícolas Frutas;2019;6;30;5;1.28;6;38.400.00
Rio Claro ;Milho Verde;Olerícolas Frutas;2019;10;247.55;33;0.9866;7.5;244.235.00
Rio das Ostras ;Milho Verde;Olerícolas Frutas;2019;3;1.56;0.17;2.625;9.18;4.095.00
São Gonçalo ;Milho Verde;Olerícolas Frutas;2019;32;130.01;20;1.3694;6.5;178.035.10
Silva Jardim ;Milho Verde;Olerícolas Frutas;2019;5;542;57;0.4258;9.51;230.800.00
Sumidouro ;Milho Verde;Olerícolas Frutas;2019;32;384;48;0.615;8;236.160.00
Nova Friburgo ;Morango;Olerícolas Frutas;2019;50;933.4;33.7;11.3212;27.7;10.567.250.00
Sapucaia ;Morango;Olerícolas Frutas;2019;2;20;2;4.25;10;85.000.00
Trajano de Morais ;Morango;Olerícolas Frutas;2019;1;1.44;0.24;12;6;17.280.00
Aperibé ;Pepino;Olerícolas Frutas;2019;3;60;1.5;1.1;40;66.000.00
Bom Jardim ;Pepino;Olerícolas Frutas;2019;149;2.350.00;47;1.0511;50;2.470.000.00
Cachoeiras de Macacu ;Pepino;Olerícolas Frutas;2019;12;119;10;1.2328;11.9;146.700.00
Cambuci ;Pepino;Olerícolas Frutas;2019;17;1.000.00;24;0.916;41.67;916.000.00
Carmo ;Pepino;Olerícolas Frutas;2019;12;1.156.60;23.05;0.6342;50.18;733.516.00
Cordeiro ;Pepino;Olerícolas Frutas;2019;7;212;6.5;1.4189;32.62;300.800.00
Duas Barras ;Pepino;Olerícolas Frutas;2019;63;1.250.00;29.2;0.8401;42.81;1.050.100.00
Duque de Caxias ;Pepino;Olerícolas Frutas;2019;4;27;1.93;2.0211;13.99;54.570.00
Itaocara ;Pepino;Olerícolas Frutas;2019;25;610;15;1.0191;40.67;621.640.00
Itaperuna ;Pepino;Olerícolas Frutas;2019;20;700;14;0.94;50;658.000.00
Paty do Alferes ;Pepino;Olerícolas Frutas;2019;12;292.95;6.81;1.0394;43.02;304.479.60
Rio Claro ;Pepino;Olerícolas Frutas;2019;1;137;4;1.5987;34.25;219.016.00
Santo Antônio de Pádua ;Pepino;Olerícolas Frutas;2019;8;120;4;1.55;30;186.000.00
São Fidélis ;Pepino;Olerícolas Frutas;2019;47;580.32;13.94;1.0412;41.63;604.203.80
São José de Ubá ;Pepino;Olerícolas Frutas;2019;190;7.200.00;180;0.1861;40;1.340.000.00
São José do Vale do Rio Preto ;Pepino;Olerícolas Frutas;2019;238;5.675.00;113.5;0.4974;50;2.823.000.00
São Sebastião do Alto ;Pepino;Olerícolas Frutas;2019;67;3.360.00;56;0.8107;60;2.724.000.00
Sapucaia ;Pepino;Olerícolas Frutas;2019;34;1.428.00;34;0.9515;42;1.358.700.00
Sumidouro ;Pepino;Olerícolas Frutas;2019;116;4.032.00;96;0.8171;42;3.294.690.00
Vassouras ;Pepino;Olerícolas Frutas;2019;2;57;1.5;1.4351;38;81.800.00
Cachoeiras de Macacu ;Pimenta;Olerícolas Frutas;2019;42;120.5;28.5;7.9191;4.23;954.250.00
Rio Bonito ;Pimenta;Olerícolas Frutas;2019;2;12;2;3;6;36.000.00
Valença ;Pimenta;Olerícolas Frutas;2019;16;77.83;34.31;5.5099;2.27;428.837.00
Aperibé ;Pimentão;Olerícolas Frutas;2019;19;345;15;1.6333;23;563.500.00
Areal ;Pimentão;Olerícolas Frutas;2019;1;15;0.5;2;30;30.000.00
Barra Mansas ;Pimentão;Olerícolas Frutas;2019;1;38.29;2.08;2.3122;18.41;88.536.00
Bom Jardim ;Pimentão;Olerícolas Frutas;2019;297;2.760.00;120;1.0328;23;2.850.620.00
Bom Jesus do Itabapoana ;Pimentão;Olerícolas Frutas;2019;4;97.8;4.29;1.555;22.8;152.080.00
Cachoeiras de Macacu ;Pimentão;Olerícolas Frutas;2019;74;1.216.00;54.2;1.1577;22.44;1.407.800.00
Cambuci ;Pimentão;Olerícolas Frutas;2019;62;775;121;2.3629;6.4;1.831.250.00
Cantagalo ;Pimentão;Olerícolas Frutas;2019;1;7.8;0.35;1.2795;22.29;9.980.00
Carmo ;Pimentão;Olerícolas Frutas;2019;6;57.5;2.3;1.4722;25;84.650.00
Duas Barras ;Pimentão;Olerícolas Frutas;2019;61;909;40.1;1.7679;22.67;1.607.000.00
Duque de Caxias ;Pimentão;Olerícolas Frutas;2019;2;0.99;0.12;2.4465;8.25;2.422.00
Italva ;Pimentão;Olerícolas Frutas;2019;38;823;32.6;1.261;25.25;1.037.810.00
Itaocara ;Pimentão;Olerícolas Frutas;2019;36;593;23.5;1.771;25.23;1.050.230.00
Itaperuna ;Pimentão;Olerícolas Frutas;2019;24;845;22;1.2485;38.41;1.055.000.00
Japeri ;Pimentão;Olerícolas Frutas;2019;2;2.5;0.7;0.92;3.57;2.300.00
Macaé ;Pimentão;Olerícolas Frutas;2019;1;0.15;0.01;6;15;900
Magé ;Pimentão;Olerícolas Frutas;2019;13;205;10.25;2.1512;20;441.000.00
Miguel Pereira ;Pimentão;Olerícolas Frutas;2019;2;109;12.06;1.7247;9.04;187.990.00
Nova Friburgo ;Pimentão;Olerícolas Frutas;2019;37;481.85;17.6;1.5079;27.38;726.590.00
Nova Iguaçu ;Pimentão;Olerícolas Frutas;2019;20;135;17;1.3655;7.94;184.340.00
Paraíba do Sul ;Pimentão;Olerícolas Frutas;2019;16;138.93;3.05;4.69;45.55;651.585.00
Paty do Alferes ;Pimentão;Olerícolas Frutas;2019;102;1.807.02;50.3;1.8016;35.92;3.255.573.00
Petrópolis ;Pimentão;Olerícolas Frutas;2019;31;316;14.3;2.5761;22.1;814.060.00
Piraí ;Pimentão;Olerícolas Frutas;2019;5;43.1;2.22;2.2589;19.41;97.360.00
Quatis ;Pimentão;Olerícolas Frutas;2019;2;12.5;1.5;2.5;8.33;31.250.00
Resende ;Pimentão;Olerícolas Frutas;2019;3;18.75;1.65;1.7803;11.36;33.380.00
Rio Claro ;Pimentão;Olerícolas Frutas;2019;2;131.04;6.2;2.4558;21.14;321.813.90
Rio das Ostras ;Pimentão;Olerícolas Frutas;2019;1;4.1;0.5;1.2559;8.2;5.149.00
Santo Antônio de Pádua ;Pimentão;Olerícolas Frutas;2019;16;330;11;2.2727;30;750.000.00
São Fidélis ;Pimentão;Olerícolas Frutas;2019;59;255.58;17.71;0.8716;14.43;222.771.30
São João da Barra ;Pimentão;Olerícolas Frutas;2019;30;190.3;19;1.067;10.02;203.050.00
São José de Ubá ;Pimentão;Olerícolas Frutas;2019;125;1.240.00;81;0.6573;15.31;815.000.00
São José do Vale do Rio Preto ;Pimentão;Olerícolas Frutas;2019;221;1.500.00;75;0.9631;20;1.444.600.00
São Sebastião do Alto ;Pimentão;Olerícolas Frutas;2019;80;1.642.00;75;1.676;21.89;2.752.000.00
Sapucaia ;Pimentão;Olerícolas Frutas;2019;41;1.148.00;41;0.9829;28;1.128.400.00
Seropédica ;Pimentão;Olerícolas Frutas;2019;4;43;2;1.7744;21.5;76.300.00
Sumidouro ;Pimentão;Olerícolas Frutas;2019;160;4.764.00;160;1.2337;29.78;5.877.360.00
Teresópolis ;Pimentão;Olerícolas Frutas;2019;51;498.2;12.55;1.4849;39.7;739.800.00
Trajano de Morais ;Pimentão;Olerícolas Frutas;2019;75;605;27.5;2.1621;22;1.308.100.00
Vassouras ;Pimentão;Olerícolas Frutas;2019;12;174.5;4.65;1.8464;37.53;322.200.00
Angra dos Reis ;Quiabo;Olerícolas Frutas;2019;33;230.5;16.5;4.3492;13.97;1.002.500.00
Aperibé ;Quiabo;Olerícolas Frutas;2019;54;660;55;2.3491;12;1.550.400.00
Araruama ;Quiabo;Olerícolas Frutas;2019;40;160.1;18.2;3.3232;8.8;532.050.00
Armação dos Búzios ;Quiabo;Olerícolas Frutas;2019;15;22.2;1.9;2.9167;11.68;64.750.00
Barra Mansas ;Quiabo;Olerícolas Frutas;2019;9;195.12;14.3;5.0957;13.64;994.280.00
Cabo Frio ;Quiabo;Olerícolas Frutas;2019;16;42;4.2;2.9643;10;124.500.00
Cachoeiras de Macacu ;Quiabo;Olerícolas Frutas;2019;103;555.5;119.2;1.647;4.66;914.900.00
Cambuci ;Quiabo;Olerícolas Frutas;2019;50;1.196.00;50;2.2912;23.92;2.740.300.00
Campos dos Goytacases ;Quiabo;Olerícolas Frutas;2019;44;151;12.3;1.8705;12.28;282.450.00
Cantagalo ;Quiabo;Olerícolas Frutas;2019;10;86.2;4.8;1.3473;17.96;116.135.00
Carmo ;Quiabo;Olerícolas Frutas;2019;4;31.65;2.14;1.8688;14.79;59.148.00
Duas Barras ;Quiabo;Olerícolas Frutas;2019;13;30.1;1.55;1.9415;19.42;58.440.00
Duque de Caxias ;Quiabo;Olerícolas Frutas;2019;7;379;36;2.5557;10.53;968.600.00
Guapimirim ;Quiabo;Olerícolas Frutas;2019;8;92.1;15.3;1.7245;6.02;158.830.00
Iguaba Grande ;Quiabo;Olerícolas Frutas;2019;10;72.2;7.75;3.3161;9.32;239.420.00
Itaboraí ;Quiabo;Olerícolas Frutas;2019;31;75.45;6.75;1.7009;11.18;128.331.00
Itaguaí ;Quiabo;Olerícolas Frutas;2019;5;474;26;2.0633;18.23;978.000.00
Itaocara ;Quiabo;Olerícolas Frutas;2019;125;1.478.00;114;2.2143;12.96;3.272.690.00
Itaperuna ;Quiabo;Olerícolas Frutas;2019;34;203.5;20.7;1.3582;9.83;276.400.00
Japeri ;Quiabo;Olerícolas Frutas;2019;251;757;87.1;2.2057;8.69;1.669.700.00
Laje do Muriae ;Quiabo;Olerícolas Frutas;2019;3;14;0.8;2.4964;17.5;34.950.00
Magé ;Quiabo;Olerícolas Frutas;2019;102;1.007.90;102;2.6063;9.88;2.626.920.00
Miracema ;Quiabo;Olerícolas Frutas;2019;3;153.7;12.3;1.7976;12.5;276.295.00
Natividade ;Quiabo;Olerícolas Frutas;2019;4;27.5;2;3.1273;13.75;86.000.00
Nova Iguaçu ;Quiabo;Olerícolas Frutas;2019;231;731;84.8;2.1605;8.62;1.579.300.00
Paracambi ;Quiabo;Olerícolas Frutas;2019;34;569.2;38.5;2.9455;14.78;1.676.600.00
Paraíba do Sul ;Quiabo;Olerícolas Frutas;2019;4;23.64;1.99;2.0398;11.88;48.219.70
Pinheiral ;Quiabo;Olerícolas Frutas;2019;7;24.5;1.8;2.5918;13.61;63.500.00
Queimados ;Quiabo;Olerícolas Frutas;2019;15;91;11.09;2.6225;8.21;238.650.00
Resende ;Quiabo;Olerícolas Frutas;2019;6;28.25;1.95;2.3402;14.49;66.110.00
Rio Bonito ;Quiabo;Olerícolas Frutas;2019;12;88;9;2.3125;9.78;203.500.00
Rio Claro ;Quiabo;Olerícolas Frutas;2019;6;141;11.8;2.2061;11.95;311.054.00
Rio das Ostras ;Quiabo;Olerícolas Frutas;2019;1;1.98;0.13;2.2;15.23;4.356.00
Rio de Janeiro ;Quiabo;Olerícolas Frutas;2019;86;1.437.00;110;1.3308;13.06;1.912.300.00
Santo Antônio de Pádua ;Quiabo;Olerícolas Frutas;2019;22;144;12;2.4833;12;357.600.00
São Fidélis ;Quiabo;Olerícolas Frutas;2019;305;1.076.06;134.88;1.0353;7.98;1.114.004.70
São Francisco de Itabapoana ;Quiabo;Olerícolas Frutas;2019;31;153;25.8;2.2967;5.93;351.400.00
São Gonçalo ;Quiabo;Olerícolas Frutas;2019;41;208;26;2.5242;8;525.040.00
São João da Barra ;Quiabo;Olerícolas Frutas;2019;90;1.238.00;107;1.8908;11.57;2.340.800.00
São Pedro da Aldeia ;Quiabo;Olerícolas Frutas;2019;24;199;20.9;3.0754;9.52;612.000.00
São Sebastião do Alto ;Quiabo;Olerícolas Frutas;2019;160;2.774.00;136;1.698;20.4;4.710.240.00
Seropédica ;Quiabo;Olerícolas Frutas;2019;48;1.776.00;129.5;3.2215;13.71;5.721.300.00
Silva Jardim ;Quiabo;Olerícolas Frutas;2019;5;70;10;1.3193;7;92.350.00
Sumidouro ;Quiabo;Olerícolas Frutas;2019;15;404;24.75;1.3446;16.32;543.200.00
Tanguá ;Quiabo;Olerícolas Frutas;2019;39;314;41.5;2.5629;7.57;804.750.00
Volta Redonda ;Quiabo;Olerícolas Frutas;2019;12;90.7;8.6;2.208;10.55;200.270.00
Aperibé ;Tomate;Olerícolas Frutas;2019;4;120;2;3.875;60;465.000.00
Bom Jardim ;Tomate;Olerícolas Frutas;2019;431;15.900.00;212;1.0317;75;16.404.000.00
Bom Jesus do Itabapoana ;Tomate;Olerícolas Frutas;2019;2;552.76;7;2.1761;78.97;1.202.868.00
Cambuci ;Tomate;Olerícolas Frutas;2019;161;16.678.00;236.5;3.0438;70.52;50.764.200.00
Cantagalo ;Tomate;Olerícolas Frutas;2019;1;43.3;0.75;1.754;57.73;75.950.00
Cardoso Moreira ;Tomate;Olerícolas Frutas;2019;2;12.5;0.3;1.4;41.67;17.500.00
Carmo ;Tomate;Olerícolas Frutas;2019;9;466.2;9.34;0.8165;49.91;380.674.00
Cordeiro ;Tomate;Olerícolas Frutas;2019;12;630;17;2.5635;37.06;1.615.000.00
Duas Barras ;Tomate;Olerícolas Frutas;2019;60;1.308.00;26.1;2.1498;50.11;2.811.900.00
Italva ;Tomate;Olerícolas Frutas;2019;51;4.405.60;54;1.745;81.59;7.687.851.00
Itaocara ;Tomate;Olerícolas Frutas;2019;16;612.5;10.5;2.9766;58.33;1.823.150.00
Itaperuna ;Tomate;Olerícolas Frutas;2019;31;2.230.00;35.5;1.2152;62.82;2.709.800.00
Macaé ;Tomate;Olerícolas Frutas;2019;1;0.2;0.03;8;6.67;1.600.00
Miguel Pereira ;Tomate;Olerícolas Frutas;2019;3;386.27;6.7;1.9141;57.65;739.352.30
Miracema ;Tomate;Olerícolas Frutas;2019;4;1.625.41;23.4;2.2066;69.46;3.586.648.00
Natividade ;Tomate;Olerícolas Frutas;2019;4;240;4;3.4667;60;832.000.00
Nova Friburgo ;Tomate;Olerícolas Frutas;2019;348;18.960.00;276.5;2.0437;68.57;38.747.850.00
Paraíba do Sul ;Tomate;Olerícolas Frutas;2019;84;4.822.53;61.89;2.4328;77.92;11.732.179.90
Paty do Alferes ;Tomate;Olerícolas Frutas;2019;138;5.269.34;89.8;1.8505;58.68;9.750.695.00
Petrópolis ;Tomate;Olerícolas Frutas;2019;31;633;13.9;2.1739;45.54;1.376.080.00
Piraí ;Tomate;Olerícolas Frutas;2019;5;135.1;3.12;2.3248;43.3;314.075.00
Porciúncula ;Tomate;Olerícolas Frutas;2019;6;328;7;3.9634;46.86;1.300.000.00
Porto Real ;Tomate;Olerícolas Frutas;2019;5;147;10;3.3959;14.7;499.200.00
Quatis ;Tomate;Olerícolas Frutas;2019;3;202;11;3.7111;18.36;749.650.00
Rio Claro ;Tomate;Olerícolas Frutas;2019;1;851.44;15.6;4.1373;54.58;3.522.677.00
Santo Antônio de Pádua ;Tomate;Olerícolas Frutas;2019;22;2.486.00;22;2.3609;113;5.869.220.00
São Fidélis ;Tomate;Olerícolas Frutas;2019;71;749.33;17.8;1.8242;42.1;1.366.917.70
São José de Ubá ;Tomate;Olerícolas Frutas;2019;265;17.850.00;255;1.1176;70;19.950.000.00
São José do Vale do Rio Preto ;Tomate;Olerícolas Frutas;2019;318;7.560.00;126;1.3781;60;10.418.400.00
São Sebastião do Alto ;Tomate;Olerícolas Frutas;2019;102;7.200.00;119;2.151;60.5;15.487.200.00
Sapucaia ;Tomate;Olerícolas Frutas;2019;49;2.940.00;49;1.4429;60;4.242.000.00
Sumidouro ;Tomate;Olerícolas Frutas;2019;483;20.230.00;329;2.0547;61.49;41.566.200.00
Tanguá ;Tomate;Olerícolas Frutas;2019;1;30.3;3;4.6238;10.1;140.100.00
Teresópolis ;Tomate;Olerícolas Frutas;2019;40;997;14.3;1.1996;69.72;1.195.970.00
Trajano de Morais ;Tomate;Olerícolas Frutas;2019;87;2.862.50;45.3;2.5417;63.19;7.275.745.00
Valença ;Tomate;Olerícolas Frutas;2019;6;922.12;12.85;3.7469;71.76;3.455.068.00
Varre-Sai ;Tomate;Olerícolas Frutas;2019;6;131.25;2.9;2.2272;45.26;292.322.50
Vassouras ;Tomate;Olerícolas Frutas;2019;66;4.235.00;72.1;2.7551;58.74;11.668.000.00
Engenheiro Paulo de Frontin ;Tomate Cereja;Olerícolas Frutas;2019;1;1;0.02;6;50;6.000.00
Paraíba do Sul ;Tomate Cereja;Olerícolas Frutas;2019;9;77.03;0.87;6.2794;88.54;483.698.50
Rio das Ostras ;Tomate Cereja;Olerícolas Frutas;2019;1;0.52;0.01;6.3;52;3.276.00
Teresópolis ;Tomate Cereja;Olerícolas Frutas;2019;53;897;9.25;3.2045;96.97;2.874.400.00
Vassouras ;Tomate Cereja;Olerícolas Frutas;2019;10;167.5;2.13;6.6284;78.64;1.110.250.00
Macaé ;Tomate*;Olerícolas Frutas;2019;1;0.08;0.03;7.5;2.67;600
Paty do Alferes ;Tomate*;Olerícolas Frutas;2019;31;70.67;3.11;5.5838;22.72;394.610.00
Rio das Ostras ;Tomate*;Olerícolas Frutas;2019;1;0.71;0.01;10;71;7.100.00
Vassouras ;Tomate*;Olerícolas Frutas;2019;3;16.4;0.6;3;27.33;49.200.00
Bom Jardim ;Vagem;Olerícolas Frutas;2019;231;1.782.00;99;1.1493;18;2.048.040.00
Cachoeiras de Macacu ;Vagem;Olerícolas Frutas;2019;11;110;9;1.5345;12.22;168.800.00
