code_muni;name_muni;Nº PRODUTORES  em 2019;PRODUÇÃO COLHIDA               (t) em 2019;ÁREA COLHIDA  (ha)  em 2019;PRODUTIVIDADE (t/ha) em 2019;FATURAMENTO BRUTO (R$) em 2019;Nº PRODUTORES  em 2018;PRODUÇÃO COLHIDA               (t) em 2018;ÁREA COLHIDA  (ha)  em 2018;PREÇO (R$/KG) em 2018;PRODUTIVIDADE (t/ha) em 2018;FATURAMENTO BRUTO (R$) em 2018;Nº PRODUTORES  em 2017;PRODUÇÃO (t)  em 2017;ÁREA (ha)  em 2017;PRODUTIVIDADE (t/ha)  em 2017;FATURAMENTO (R$) em 2017;Nº PRODUTORES em 2016 ;PRODUÇÃO (t) em 2016 ;ÁREA (ha)  em 2016;PRODUTIVIDADE (t/ha)  em 2016;FATURAMENTO (R$) em 2016
3300100;Angra dos Reis ;261;1905.00;200;9.53;14230750.00;674;4284.00;510.5;52.279;8.39;22396500.00;629;3895.00;531.5;7.33;23020250.00;312;2828.00;376.9;7.5;20645000.00
3300159;Aperibé ;179;2364.00;159.5;14.82;4290600.00;222;2647.00;173;1.187;15.3;3141900.00;202;2305.00;143;16.12;2970900.00;228;2725.50;143;19.06;2635525.00
3300209;Araruama ;479;262653.15;6300.45;41.69;72549292.50;463;236006.80;6009.60;0.292;39.27;68923590.00;438;192792.40;5077.00;37.97;59354350.00;393;188482.70;5057.50;37.27;63106445.00
3300225;Areal ;10;189.65;15.77;12.03;265972.70;9;658.76;29.5;0.6083;22.33;400698.90;11;605.55;26.2;23.11;616071.50;10;219.11;11.75;18.65;305947.90
3300233;Armação dos Búzios ;76;188.51;17.91;10.53;479026.00;69;189.2;16.52;24.757;11.45;468395.00;52;157.9;14.32;11.03;334385.00;55;203.41;16.48;12.34;450525.00
3300308;Barra do Pirai ;83;5431.40;100.46;54.07;1535675.00;82;3717.33;71.96;0.2753;51.66;1023380.00;84;3554.05;73.65;48.26;1070885.50;92;2509.40;47.01;53.38;592320.00
3300209;Barra Mansas ;152;5638.35;322.34;17.49;9750639.60;154;4999.21;285.98;18.211;17.48;9104213.50;164;5469.22;280.17;19.52;9244336.50;162;4665.99;233.7;19.97;7812864.00
3300506;Bom Jardim ;4428;58966.10;3126.50;18.86;67390450.00;4075;56211.80;3124.50;1.289;17.99;72457570.00;3563;54671.00;3034.00;18.02;64903570.00;3588;52489.50;2997.00;17.51;67999080.00
3300605;Bom Jesus do Itabapoana ;429;3123.52;966.19;3.23;8516198.00;746;10532.32;1341.49;15.428;7.85;16249727.50;662;14748.49;1482.71;9.95;16620514.00;670;8072.50;1160.50;6.96;10452330.00
3300704;Cabo Frio ;114;118340.10;3037.90;38.95;9426275.00;112;100218.70;2536.10;0.0794;39.52;7957870.00;99;99834.50;2526.30;39.52;79889880.00;88;92595.00;2345.00;39.49;10462395.00
3300803;Cachoeiras de Macacu ;1893;48397.90;3352.50;14.44;54821330.00;1744;40860.30;2906.60;11.033;14.06;45081160.00;1574;42893.60;2687.65;15.96;58868250.00;1418;36431.20;2097.45;17.37;57417685.00
3300902;Cambuci ;552;29121.70;809;36;63659250.00;510;26036.00;711.5;11.721;36.59;30516760.00;427;22339.00;666.5;33.52;26808335.00;578;22099.95;675;32.74;27086345.00
3301009;Campos dos Goytacases ;2415;1362368.00;31211.30;43.65;107338520.00;2427;1316244.00;30449.00;0.0777;43.23;102253900.00;1914;1038958.00;24181.50;42.96;92111550.00;2077;1241349.00;29740.00;41.74;135763000.00
3301108;Cantagalo ;37;264.55;22.89;11.56;378067.50;32;182.9;23.15;18.332;7.9;335292.50;47;317;26.45;11.98;487690.00;44;370.35;35;10.58;623154.50
3300936;Carapebus ;58;804.7;67.5;11.92;287825.00;64;1061.20;73.5;0.3788;14.44;402015.00;61;1307.20;67;19.51;436575.00;62;1682.00;77;21.84;690350.00
3301157;Cardoso Moreira ;146;8065.73;210.95;38.24;846841.00;115;8701.27;206.8;0.1093;42.08;951326.00;158;1246.27;83.25;14.97;1091029.00;121;1102.00;86.3;12.77;1513255.00
3301207;Carmo ;431;26988.51;578.1;46.68;6559081.50;90;2788.68;100.8;0.8688;27.67;2422881.20;84;2959.15;106.59;27.76;2245115.00;80;1890.65;62.7;30.15;1898346.00
3301306;Casimiro de Abreu ;330;5414.44;458.7;11.8;7569010.00;247;3733.18;326.03;10.535;11.45;3932796.00;256;4451.01;371.49;11.98;4947990.00;259;4107.00;315.41;13.02;6226300.00
3300951;Comendador Levy Gasparian ;6;125.82;12.2;10.31;192950.60;6;105.18;10;14.423;10.52;151696.60;6;97.42;9.5;10.25;151381.90;4;47.95;6;7.99;86585.70
3301405;Conceição de Macabu ;60;270.4;27.68;9.77;549140.00;58;296;27.9;17.029;10.61;504064.00;71;232.7;29.6;7.86;300193.00;53;364;53.5;6.8;509110.00
3301504;Cordeiro ;54;4704.00;146.05;32.21;5879200.00;58;6353.00;226.5;0.9015;28.05;5727100.00;114;7237.00;256;28.27;4901500.00;189;4380.00;175.5;24.96;7574000.00
3301603;Duas Barras ;1266;27604.96;1201.24;22.98;27174478.00;1620;31029.48;1325.58;0.915;23.41;28392436.00;1626;37063.05;1515.73;24.45;30832440.00;1610;31733.34;1302.66;24.36;34790597.00
3301702;Duque de Caxias ;139;12160.46;787.53;15.44;22276027.00;197;14065.37;866.86;22.304;16.23;31370973.00;298;23298.68;1321.80;17.63;39451525.00;411;18722.66;1006.27;18.61;33654345.00
3301801;Engenheiro Paulo de Frontin ;56;348;33.57;10.37;748100.00;89;423.8;26.69;20.807;15.88;881790.00;67;707.5;35.19;20.11;1187330.00;82;758;58.98;12.85;1158600.00
3301850;Guapimirim ;215;9800.20;931.9;10.52;11600930.00;186;9693.55;912.3;11.501;10.63;11148365.00;375;9629.60;973.85;9.89;12099395.00;181;9268.55;756.45;12.25;12832450.00
3301876;Iguaba Grande ;74;475.8;59.5;8;958410.00;65;580.9;90.8;18.913;6.4;1098680.00;67;669.7;80.8;8.29;2282985.00;94;1512.86;187.9;8.05;4216510.00
3301900;Itaboraí ;201;4650.95;371.86;12.51;5829165.00;184;1984.50;155.8;14.338;12.74;2845400.00;143;1825.00;140.1;13.03;2149645.00;134;1614.55;133.3;12.11;1704518.00
3302007;Itaguaí ;147;5930.00;543;10.92;8260100.00;175;8866.00;677;21.251;13.1;18841500.00;95;8552.00;389;21.98;15200100.00;212;5527.00;491.5;11.25;8972750.00
3302056;Italva ;648;24189.50;641.75;37.69;12499111.50;634;27686.43;656.67;0.2818;42.16;7801226.90;645;27759.55;672.83;41.26;8994670.50;598;27150.58;626.72;43.32;9902776.80
3302106;Itaocara ;728;12877.50;548;23.5;12597770.00;750;10434.00;517;12.231;20.18;12761540.00;574;9404.55;480.55;19.57;12011262.50;847;15179.80;754.15;20.13;22081327.00
3302205;Itaperuna ;340;5925.80;319.6;18.54;6968920.00;375;6784.00;367.2;0.8754;18.47;5938620.00;363;5710.50;330.8;17.26;6993250.00;346;8839.00;374.9;23.58;9698200.00
3302270;Japeri ;833;8216.00;697.7;11.78;12369820.00;927;8627.00;732;1.441;11.79;12431090.00;1008;8449.00;807.5;10.46;11931970.00;1019;8255.00;880.5;9.38;12229190.00
3302304;Laje do Muriae ;16;121.4;8.5;14.28;237400.00;11;118.5;8.54;22.414;13.88;265600.00;13;159.8;12.75;12.53;383650.00;16;211.6;11.4;18.56;363550.00
3302403;Macaé ;190;7380.11;1083.19;6.81;6450881.00;139;4737.16;716.3;0.8094;6.61;3834270.00;137;6003.10;912.43;6.58;5197120.00;196;5914.70;819.35;7.22;6500720.00
3302452;Macuco ;52;1555.05;44.25;35.14;588050.00;66;3219.62;64.38;0.1813;50.01;583690.50;68;1049.00;76;13.8;285050.00;36;733.6;50.33;14.58;240310.00
3302502;Magé ;747;12480.65;1096.05;11.39;24883917.50;653;12541.95;1091.45;17.031;11.49;21359955.00;585;12987.29;1153.75;11.26;25361676.50;623;14100.30;1276.05;11.05;27486262.50
3302601;Mangaratiba ;387;21742.00;2958.00;7.35;33793100.00;432;33009.00;4406.00;16.277;7.49;53728000.00;473;35877.00;4771.00;7.52;45822600.00;476;35965.00;4781.00;7.52;36671800.00
3302700;Maricá ;68;409.79;59.46;6.89;345677.50;52;712.1;77.83;15.698;9.15;1117885.00;48;651.2;72.9;8.93;951650.00;46;426.04;53.4;7.98;473266.00
3302809;Mendes ;28;221.3;20.05;11.04;691559.50;27;184.02;18.44;31.135;9.98;572954.10;28;124.55;17.03;7.31;342412.50;20;93.8;14;6.7;240760.00
3302908;Miguel Pereira ;27;796.13;40.48;19.67;1779287.40;45;1177.40;62.84;18.787;18.74;2211964.00;42;104.01;12.74;8.16;160892.50;49;464.39;17.44;26.63;567916.00
3303005;Miracema ;348;19708.44;384.46;51.26;6620697.50;344;19751.81;401.8;0.4032;49.16;7963782.00;369;19353.18;407.43;47.5;6991384.00;379;18865.68;404.24;46.67;8589701.90
3303104;Natividade ;279;13929.38;344.09;40.48;2972388.00;277;15129.72;293.13;0.141;51.61;2133496.00;304;12270.92;373.24;32.88;4287280.00;316;15243.50;329.2;46.3;3301077.60
3303302;Niterói ;21;307.4;16.2;18.98;445997.00;29;295.5;15.5;15.034;19.06;444241.00;20;288.8;14.65;19.71;373371.00;19;252.5;13.4;18.84;267450.00
3303401;Nova Friburgo ;2808;66088.75;2341.28;28.23;141314641.00;3005;75735.65;2430.15;20.029;31.17;151694163.00;3019;68112.66;2252.16;30.24;124800752.50;3217;76029.05;2455.40;30.96;157410122.90
3303500;Nova Iguaçu ;863;5373.00;558.95;9.61;7830920.00;919;6648.50;635.6;14.774;10.46;9822430.00;1012;6608.00;670.4;9.86;9395450.00;1017;6362.00;652.1;9.76;9992180.00
3303609;Paracambi ;119;1118.60;118.5;9.44;2872100.00;140;182.5;92.5;16.467;1.97;300530.00;121;194.3;223.5;0.87;433425.00;116;1181.50;155.9;7.58;1811600.00
3303708;Paraíba do Sul ;237;10608.86;235.79;44.99;18043472.40;289;13733.43;315.05;12.528;43.59;17205550.90;281;13112.64;248.06;52.86;15007583.00;283;9355.60;162.05;57.73;15252945.50
3303807;Paraty ;424;3739.40;388.67;9.62;29414850.00;444;3615.60;382.2;71.991;9.46;26029100.00;448;17974.80;1448.70;12.41;74701550.00;440;9145.00;772.7;11.84;17579350.00
3303856;Paty do Alferes ;488;10824.09;329.31;32.87;19093530.70;394;15507.37;538.12;18.316;28.82;28403060.00;479;18046.97;866.5;20.83;32956243.70;460;17626.35;284.85;61.88;25522487.00
3303906;Petrópolis ;1161;9721.50;423.35;22.96;17737450.00;1170;9743.00;406.09;18.156;23.99;17689050.00;1104;9159.90;376.68;24.32;12429570.00;972;9448.50;389.65;24.25;16071785.00
3303955;Pinheiral ;69;1448.11;160.87;9;3429266.00;70;1422.34;146.37;2.508;9.72;3567275.00;65;1391.00;148.17;9.39;3861345.00;83;1047.78;152.68;6.86;3641905.00
3304003;Piraí ;106;3350.15;406.04;8.25;6426613.00;118;3743.36;446.84;18.469;8.38;6913511.00;113;3690.90;450.29;8.2;7337485.50;132;2648.27;457.07;5.79;6068510.00
3304102;Porciúncula ;1351;58190.10;6185.90;9.89;38705855.00;1348;68875.10;6162.70;10.799;11.18;74377542.00;1176;39385.00;5808.70;6.78;71727890.00;1223;36733.85;5289.60;6.94;58252040.00
3304110;Porto Real ;44;1013.90;69.7;14.55;1261475.00;28;729;92;2.339;7.92;1705150.00;54;554.5;88;6.3;1082425.00;45;537;43.1;12.46;1047925.00
3304128;Quatis ;46;3350.00;104.65;32.01;1972775.00;24;585;57.75;23.432;10.13;1370800.00;62;1203.50;83.5;14.41;1599350.00;53;869.5;56.3;15.44;1661200.00
3304144;Queimados ;213;1991.56;133.33;14.94;2661510.40;328;2380.85;228.13;14.371;10.44;3421420.50;441;2386.00;261.5;9.12;3625630.00;431;2248.00;256.9;8.75;3614710.00
3304151;Quissamã ;156;56805.45;1721.49;33;19172130.00;166;44785.22;1483.30;0.2634;30.19;11795064.50;139;50246.15;1789.83;28.07;15941350.00;125;90329.63;3118.07;28.97;22802152.00
3304201;Resende ;180;7731.60;179.75;43.01;2906232.00;174;7838.84;186.35;0.2554;42.07;2002203.40;177;6835.32;179.9;38;1606214.50;219;4779.45;124.31;38.45;992152.00
3304300;Rio Bonito ;678;45680.50;2747.00;16.63;63811050.00;756;41703.00;2897.00;13.141;14.4;54800900.00;735;41022.20;2798.40;14.66;67739200.00;627;35638.25;2802.00;12.72;47752600.00
3304409;Rio Claro ;191;7161.55;536.15;13.36;16897503.90;156;5195.20;423.73;14.098;12.26;7324396.00;187;6217.31;530.75;11.71;6572845.40;209;4293.69;482.52;8.9;3924858.50
3304508;Rio das Flores ;92;4247.95;110.75;38.36;899881.50;122;8699.60;217.3;0.226;40.03;1965940.00;59;1625.60;69.6;23.36;623470.00;37;590.1;26.5;22.27;569270.00
3304524;Rio das Ostras ;72;373.6;78.9;4.74;653524.50;70;1184.40;138.7;18.629;8.54;2206400.00;61;758.04;100.6;7.54;1178360.00;26;644.1;69.6;9.25;784620.00
3304557;Rio de Janeiro ;1042;46744.88;2855.47;16.37;48451762.20;998;43395.04;2640.20;10.101;16.44;43832400.00;1008;46716.22;2814.74;16.6;51657317.10;1066;47848.63;2746.12;17.42;55875001.80
3304607;Santa Maria Madalena ;135;12805.07;891.95;14.36;16720909.90;134;13804.35;990.5;12.492;13.94;17244209.80;129;2093.46;944.43;2.22;2307004.00;118;2218.18;148.55;14.93;1818517.00
3304706;Santo Antônio de Pádua ;250;4060.60;194;20.93;9012920.00;211;3412.00;167;14.614;20.43;4986342.00;203;3154.40;154;20.48;6418810.00;198;3176.80;135.4;23.46;4951150.00
3304805;São Fidélis ;735;10327.47;454.91;22.7;6127842.80;585;12090.04;440.64;0.4768;27.44;5764453.00;408;6488.00;299.44;21.67;5240950.10;531;13346.71;608.44;21.94;11466106.10
3304755;São Francisco de Itabapoana ;2107;822821.50;24678.80;33.34;194357950.00;2580;893670.00;24931.50;0.2873;35.85;256783100.00;3036;1043715.50;27946.52;37.35;231556600.00;1908;1016164.00;24086.00;42.19;170962510.00
3304904;São Gonçalo ;340;5789.58;300.82;19.25;8187675.00;348;6160.56;316.32;14.051;19.48;8655932.50;292;6136.66;307.57;19.95;7533593.60;264;5905.67;297.27;19.87;6283482.10
3305000;São João da Barra ;716;18481.10;771.7;23.95;23547860.00;716;18566.50;756.7;0.9948;24.54;18469225.00;732;21789.00;830.2;26.25;21462600.00;745;32030.75;995.3;32.18;26050900.00
3304409;São José de Ubá ;604;26412.70;531.1;49.73;22409900.00;872;37717.40;705.35;0.5138;53.47;19379570.00;872;32864.00;716;45.9;85053500.00;612;25154.00;570;44.13;19806850.00
3305158;São José do Vale do Rio Preto ;3755;120828.50;3181.25;37.98;86827100.00;3534;121780.00;3157.25;0.7329;38.57;89253080.00;3448;119431.50;3101.00;38.51;61563790.00;3381;117840.50;3089.00;38.15;92607190.00
3305208;São Pedro da Aldeia ;175;56946.66;889.67;64.01;7264029.20;140;36422.30;776.3;0.125;46.92;4553510.00;204;43052.10;1007.16;42.75;12683629.00;222;17385.50;1239.80;14.02;26862575.00
3305307;São Sebastião do Alto ;570;18656.00;530;35.2;31327440.00;541;18537.00;513;15.657;36.13;29024250.00;611;18217.80;580.5;31.38;24983622.00;792;21894.20;682.5;32.08;34991188.00
3305406;Sapucaia ;639;19379.00;749;25.87;22301450.00;612;16842.00;621;15.141;27.12;25500950.00;628;18414.00;638.5;28.84;18300400.00;461;12407.30;460.1;26.97;18157880.00
3305505;Saquarema ;351;5760.90;755.5;7.63;8097100.00;549;9583.20;977.65;13.809;9.8;13233815.00;704;10172.15;972.6;10.46;13169435.00;758;10713.15;1078.40;9.93;12442815.00
3305554;Seropédica ;527;13236.70;1302.55;10.16;22674690.00;606;15501.40;1379.40;13.221;11.24;20495080.00;641;14576.70;1326.80;10.99;21001375.00;682;16091.00;1417.20;11.35;18535180.00
3305604;Silva Jardim ;384;19422.00;1620.00;11.99;15465050.00;387;18104.00;1497.30;0.8008;12.09;14497450.00;307;14389.00;1048.50;13.72;13113600.00;288;9817.05;819.3;11.98;10174075.00
3305703;Sumidouro ;4015;101578.24;3743.00;27.14;190980904.60;4266;84116.70;3700.15;15.723;22.73;132257592.00;1744;35342.90;1464.30;24.14;45586190.00;2295;47868.80;1866.10;25.65;69169487.00
3305752;Tanguá ;535;25440.05;1763.63;14.42;34361501.50;508;25479.70;1774.83;10.634;14.36;27096095.00;439;24234.15;1751.83;13.83;30251589.00;426;39072.30;3267.30;11.96;39878516.00
3305802;Teresópolis ;5133;174505.79;6269.37;27.83;236530276.00;5180;185552.82;6667.52;14.682;27.83;272431534.00;5618;174408.50;6375.65;27.36;197059870.00;5860;186550.50;6960.70;26.8;249577869.00
3305901;Trajano de Morais ;890;18257.46;1022.54;17.86;32113882.00;752;13351.80;781.4;16.216;17.09;21651545.00;854;11891.10;641.4;18.54;16240965.00;1213;20199.40;1600.80;12.62;36602255.00
3306008;Três Rios ;12;244.01;18.78;12.99;405155.10;17;306.46;32.3;14.781;9.49;452976.40;17;238.48;31.6;7.55;404964.50;13;201.67;27.1;7.44;339344.20
3306107;Valença ;203;14439.62;448.39;32.2;19565976.60;225;24297.94;577.89;0.8819;42.05;21428813.80;497;6305.27;146.87;42.93;2448493.20;404;4813.93;117.71;40.9;1821486.00
3306156;Varre-Sai ;1703;8192.99;5679.61;1.44;28888962.50;1675;10035.70;5647.70;50.827;1.78;51008700.00;1601;7741.50;5746.90;1.35;36481000.00;1510;8550.50;5700.00;1.5;48142480.00
3306206;Vassouras ;209;6160.30;156.38;39.39;16709750.00;225;5366.50;131.19;25.304;40.91;13579450.00;336;22900.20;393.86;58.14;28566215.00;282;11453.20;221.55;51.7;15828160.00
3306305;Volta Redonda ;161;1539.40;87.45;17.6;5013490.00;173;1960.60;121.1;28.855;16.19;5657300.00;155;2267.10;130.1;17.43;4910910.00;155;2162.80;119.3;18.13;4495630.00
