MUNICIPIOS/CULTURAS;Nº  PRODUTORES ;PRODUÇÃO COLHIDA  (t);ÁREA COLHIDA  (ha)  ;PREÇO (R$/KG);PRODUTIVIDADE (t/ha);FATURAMENTO BRUTO (R$)
Porciúncula ;1.351;58.190,10;6.185,90;0,6652;9,89;38.705.855,00
Bom Jardim ;4.428;58.966,10;3.126,50;1,1429;18,86;67.390.450,00
São Pedro da Aldeia ;175;56.946,66;889,67;0,1276;64,01;7.264.029,20
Quissamã ;156;56.805,45;1.721,49;0,3375;33;19.172.130,00
Cachoeiras de Macacu ;1.893;48.397,90;3.352,50;1,1327;14,44;54.821.330,00
Rio de Janeiro ;1.042;46.744,88;2.855,47;1,0365;16,37;48.451.762,20
Rio Bonito ;678;45.680,50;2.747,00;1,3969;16,63;63.811.050,00
Cambuci ;552;29.121,70;809;2,186;36;63.659.250,00
Duas Barras ;1.266;27.604,96;1.201,24;0,9844;22,98;27.174.478,00
Carmo ;431;26.988,51;578,1;0,243;46,68;6.559.081,50
São José de Ubá ;604;26.412,70;531,1;0,8485;49,73;22.409.900,00
Tanguá ;535;25.440,05;1.763,63;1,3507;14,42;34.361.501,50
Italva ;648;24.189,50;641,75;0,5167;37,69;12.499.111,50
Mangaratiba ;387;21.742,00;2.958,00;1,5543;7,35;33.793.100,00
Miracema ;348;19.708,44;384,46;0,3359;51,26;6.620.697,50
Silva Jardim ;384;19.422,00;1.620,00;0,7963;11,99;15.465.050,00
Sapucaia ;639;19.379,00;749;1,1508;25,87;22.301.450,00
São Sebastião do Alto ;570;18.656,00;530;1,6792;35,2;31.327.440,00
São João da Barra ;716;18.481,10;771,7;1,2742;23,95;23.547.860,00
Trajano de Morais ;890;18.257,46;1.022,54;1,7589;17,86;32.113.882,00
Valença ;203;14.439,62;448,39;1,355;32,2;19.565.976,60
Natividade ;279;13.929,38;344,09;0,2134;40,48;2.972.388,00
Seropédica ;527;13.236,70;1.302,55;1,713;10,16;22.674.690,00
Itaocara ;728;12.877,50;548;0,9783;23,5;12.597.770,00
Santa Maria Madalena ;135;12.805,07;891,95;1,3058;14,36;16.720.909,90
Magé ;747;12.480,65;1.096,05;1,9938;11,39;24.883.917,50
Duque de Caxias ;139;12.160,46;787,53;1,8318;15,44;22.276.027,00
Paty do Alferes ;488;10.824,09;329,31;1,764;32,87;19.093.530,70
Paraíba do Sul ;237;10.608,86;235,79;1,7008;44,99;18.043.472,40
São Fidélis ;735;10.327,47;454,91;0,5934;22,7;6.127.842,80
Guapimirim ;215;9.800,20;931,9;1,1837;10,52;11.600.930,00
Petrópolis ;1.161;9.721,50;423,35;1,8246;22,96;17.737.450,00
Japeri ;833;8.216,00;697,7;1,5056;11,78;12.369.820,00
Varre-Sai ;1.703;8.192,99;5.679,61;3,5261;1,44;28.888.962,50
Cardoso Moreira ;146;8.065,73;210,95;0,105;38,24;846.841,00
Resende ;180;7.731,60;179,75;0,3759;43,01;2.906.232,00
Macaé ;190;7.380,11;1.083,19;0,8741;6,81;6.450.881,00
Rio Claro ;191;7.161,55;536,15;2,3595;13,36;16.897.503,90
Vassouras ;209;6.160,30;156,38;2,7125;39,39;16.709.750,00
Itaguaí ;147;5.930,00;543;1,3929;10,92;8.260.100,00
Itaperuna ;340;5.925,80;319,6;1,176;18,54;6.968.920,00
São Gonçalo ;340;5.789,58;300,82;1,4142;19,25;8.187.675,00
Saquarema ;351;5.760,90;755,5;1,4055;7,63;8.097.100,00
Barra Mansas ;152;5.638,35;322,34;1,7293;17,49;9.750.639,60
Barra do Pirai ;83;5.431,40;100,46;0,2827;54,07;1.535.675,00
Casimiro de Abreu ;330;5.414,44;458,7;1,3979;11,8;7.569.010,00
Nova Iguaçu ;863;5.373,00;558,95;1,4575;9,61;7.830.920,00
Cordeiro ;54;4.704,00;146,05;1,2498;32,21;5.879.200,00
Itaboraí ;201;4.650,95;371,86;1,2533;12,51;5.829.165,00
Rio das Flores ;92;4.247,95;110,75;0,2118;38,36;899.881,50
Santo Antônio de Pádua ;250;4.060,60;194;2,2196;20,93;9.012.920,00
Paraty ;424;3.739,40;388,67;7,8662;9,62;29.414.850,00
Piraí ;106;3.350,15;406,04;1,9183;8,25;6.426.613,00
Quatis ;46;3.350,00;104,65;0,5889;32,01;1.972.775,00
Bom Jesus do Itabapoana ;429;3.123,52;966,19;2,7265;3,23;8.516.198,00
Aperibé ;179;2.364,00;159,5;1,815;14,82;4.290.600,00
Queimados ;213;1.991,56;133,33;1,3364;14,94;2.661.510,40
Angra dos Reis ;261;1.905,00;200;7,4702;9,53;14.230.750,00
Macuco ;52;1.555,05;44,25;0,3782;35,14;588.050,00
Volta Redonda ;161;1.539,40;87,45;3,2568;17,6;5.013.490,00
Pinheiral ;69;1.448,11;160,87;2,3681;9;3.429.266,00
Paracambi ;119;1.118,60;118,5;2,5676;9,44;2.872.100,00
Porto Real ;44;1.013,90;69,7;1,2442;14,55;1.261.475,00
Carapebus ;58;804,7;67,5;0,3577;11,92;287.825,00
Miguel Pereira ;27;796,13;40,48;2,2349;19,67;1.779.287,40
Iguaba Grande ;74;475,8;59,5;2,0143;8;958.410,00
Maricá ;68;409,79;59,46;0,8435;6,89;345.677,50
Rio das Ostras ;72;373,6;78,9;1,7493;4,74;653.524,50
Engenheiro Paulo de Frontin ;56;348;33,57;2,1497;10,37;748.100,00
Niterói ;21;307,4;16,2;1,4509;18,98;445.997,00
Conceição de Macabu ;60;270,4;27,68;2,0308;9,77;549.140,00
Cantagalo ;37;264,55;22,89;1,4291;11,56;378.067,50
Três Rios ;12;244,01;18,78;1,6604;12,99;405.155,10
Mendes ;28;221,3;20,05;3,125;11,04;691.559,50
Areal ;10;189,65;15,77;1,4024;12,03;265.972,70
Armação dos Búzios ;76;188,51;17,91;2,5411;10,53;479.026,00
Comendador Levy Gasparian ;6;125,82;12,2;1,5335;10,31;192.950,60
Laje do Muriae ;16;121,4;8,5;1,9555;14,28;237.400,00
ESTADO ;53.492;3.987.005,54;139.060,52;0,5315;28,67;2.119.056.239,10
FONTE: Acompanhamento Sistemático da Produção Agrícola-ASPA,Estado do Rio de Janeiro,2019-SISTEMA AGROGEO;;;;;;
Empresade Assistência Técnica e Extensão Rural do Estado do Rio de Janeiro-EMATER-RIO/CPLAN/NIDOC;;;;;;
;;;;;;
ORDEM Decrescente de ÁREA Colhida;;;;;;
MUNICÍPIOS;Nº PRODUTORES ;PRODUÇÃO COLHIDA               (t);ÁREA COLHIDA  (ha)  ;PREÇO (R$/KG);PRODUTIVIDADE (t/ha);FATURAMENTO BRUTO (R$)
Campos dos Goytacases ;2.415;1.362.368,00;31.211,30;0,0788;43,65;107.338.520,00
São Francisco de Itabapoana ;2.107;822.821,50;24.678,80;0,2362;33,34;194.357.950,00
Araruama ;479;262.653,15;6.300,45;0,2762;41,69;72.549.292,50
Teresópolis ;5.133;174.505,79;6.269,37;1,3554;27,83;236.530.276,00
Porciúncula ;1.351;58.190,10;6.185,90;0,6652;9,89;38.705.855,00
Varre-Sai ;1.703;8.192,99;5.679,61;3,5261;1,44;28.888.962,50
Sumidouro ;4.015;101.578,24;3.743,00;1,8801;27,14;190.980.904,60
Cachoeiras de Macacu ;1.893;48.397,90;3.352,50;1,1327;14,44;54.821.330,00
São José do Vale do Rio Preto ;3.755;120.828,50;3.181,25;0,7186;37,98;86.827.100,00
Bom Jardim ;4.428;58.966,10;3.126,50;1,1429;18,86;67.390.450,00
Cabo Frio ;114;118.340,10;3.037,90;0,0797;38,95;9.426.275,00
Mangaratiba ;387;21.742,00;2.958,00;1,5543;7,35;33.793.100,00
Rio de Janeiro ;1.042;46.744,88;2.855,47;1,0365;16,37;48.451.762,20
Rio Bonito ;678;45.680,50;2.747,00;1,3969;16,63;63.811.050,00
Nova Friburgo ;2.808;66.088,75;2.341,28;2,1383;28,23;141.314.641,00
Tanguá ;535;25.440,05;1.763,63;1,3507;14,42;34.361.501,50
Quissamã ;156;56.805,45;1.721,49;0,3375;33;19.172.130,00
Silva Jardim ;384;19.422,00;1.620,00;0,7963;11,99;15.465.050,00
Seropédica ;527;13.236,70;1.302,55;1,713;10,16;22.674.690,00
Duas Barras ;1.266;27.604,96;1.201,24;0,9844;22,98;27.174.478,00
Magé ;747;12.480,65;1.096,05;1,9938;11,39;24.883.917,50
Macaé ;190;7.380,11;1.083,19;0,8741;6,81;6.450.881,00
Trajano de Morais ;890;18.257,46;1.022,54;1,7589;17,86;32.113.882,00
Bom Jesus do Itabapoana ;429;3.123,52;966,19;2,7265;3,23;8.516.198,00
Guapimirim ;215;9.800,20;931,9;1,1837;10,52;11.600.930,00
Santa Maria Madalena ;135;12.805,07;891,95;1,3058;14,36;16.720.909,90
São Pedro da Aldeia ;175;56.946,66;889,67;0,1276;64,01;7.264.029,20
Cambuci ;552;29.121,70;809;2,186;36;63.659.250,00
Duque de Caxias ;139;12.160,46;787,53;1,8318;15,44;22.276.027,00
São João da Barra ;716;18.481,10;771,7;1,2742;23,95;23.547.860,00
Saquarema ;351;5.760,90;755,5;1,4055;7,63;8.097.100,00
Sapucaia ;639;19.379,00;749;1,1508;25,87;22.301.450,00
Japeri ;833;8.216,00;697,7;1,5056;11,78;12.369.820,00
Italva ;648;24.189,50;641,75;0,5167;37,69;12.499.111,50
Carmo ;431;26.988,51;578,1;0,243;46,68;6.559.081,50
Nova Iguaçu ;863;5.373,00;558,95;1,4575;9,61;7.830.920,00
Itaocara ;728;12.877,50;548;0,9783;23,5;12.597.770,00
Itaguaí ;147;5.930,00;543;1,3929;10,92;8.260.100,00
Rio Claro ;191;7.161,55;536,15;2,3595;13,36;16.897.503,90
São José de Ubá ;604;26.412,70;531,1;0,8485;49,73;22.409.900,00
São Sebastião do Alto ;570;18.656,00;530;1,6792;35,2;31.327.440,00
Casimiro de Abreu ;330;5.414,44;458,7;1,3979;11,8;7.569.010,00
São Fidélis ;735;10.327,47;454,91;0,5934;22,7;6.127.842,80
Valença ;203;14.439,62;448,39;1,355;32,2;19.565.976,60
Petrópolis ;1.161;9.721,50;423,35;1,8246;22,96;17.737.450,00
Piraí ;106;3.350,15;406,04;1,9183;8,25;6.426.613,00
Paraty ;424;3.739,40;388,67;7,8662;9,62;29.414.850,00
Miracema ;348;19.708,44;384,46;0,3359;51,26;6.620.697,50
Itaboraí ;201;4.650,95;371,86;1,2533;12,51;5.829.165,00
Natividade ;279;13.929,38;344,09;0,2134;40,48;2.972.388,00
Paty do Alferes ;488;10.824,09;329,31;1,764;32,87;19.093.530,70
Barra Mansas ;152;5.638,35;322,34;1,7293;17,49;9.750.639,60
Itaperuna ;340;5.925,80;319,6;1,176;18,54;6.968.920,00
São Gonçalo ;340;5.789,58;300,82;1,4142;19,25;8.187.675,00
Paraíba do Sul ;237;10.608,86;235,79;1,7008;44,99;18.043.472,40
Cardoso Moreira ;146;8.065,73;210,95;0,105;38,24;846.841,00
Angra dos Reis ;261;1.905,00;200;7,4702;9,53;14.230.750,00
Santo Antônio de Pádua ;250;4.060,60;194;2,2196;20,93;9.012.920,00
Resende ;180;7.731,60;179,75;0,3759;43,01;2.906.232,00
Pinheiral ;69;1.448,11;160,87;2,3681;9;3.429.266,00
Aperibé ;179;2.364,00;159,5;1,815;14,82;4.290.600,00
Vassouras ;209;6.160,30;156,38;2,7125;39,39;16.709.750,00
Cordeiro ;54;4.704,00;146,05;1,2498;32,21;5.879.200,00
Queimados ;213;1.991,56;133,33;1,3364;14,94;2.661.510,40
Paracambi ;119;1.118,60;118,5;2,5676;9,44;2.872.100,00
Rio das Flores ;92;4.247,95;110,75;0,2118;38,36;899.881,50
Quatis ;46;3.350,00;104,65;0,5889;32,01;1.972.775,00
Barra do Pirai ;83;5.431,40;100,46;0,2827;54,07;1.535.675,00
Volta Redonda ;161;1.539,40;87,45;3,2568;17,6;5.013.490,00
Rio das Ostras ;72;373,6;78,9;1,7493;4,74;653.524,50
Porto Real ;44;1.013,90;69,7;1,2442;14,55;1.261.475,00
Carapebus ;58;804,7;67,5;0,3577;11,92;287.825,00
Iguaba Grande ;74;475,8;59,5;2,0143;8;958.410,00
Maricá ;68;409,79;59,46;0,8435;6,89;345.677,50
Macuco ;52;1.555,05;44,25;0,3782;35,14;588.050,00
Miguel Pereira ;27;796,13;40,48;2,2349;19,67;1.779.287,40
Engenheiro Paulo de Frontin ;56;348;33,57;2,1497;10,37;748.100,00
Conceição de Macabu ;60;270,4;27,68;2,0308;9,77;549.140,00
Cantagalo ;37;264,55;22,89;1,4291;11,56;378.067,50
Mendes ;28;221,3;20,05;3,125;11,04;691.559,50
Três Rios ;12;244,01;18,78;1,6604;12,99;405.155,10
Armação dos Búzios ;76;188,51;17,91;2,5411;10,53;479.026,00
Niterói ;21;307,4;16,2;1,4509;18,98;445.997,00
Areal ;10;189,65;15,77;1,4024;12,03;265.972,70
Comendador Levy Gasparian ;6;125,82;12,2;1,5335;10,31;192.950,60
Laje do Muriae ;16;121,4;8,5;1,9555;14,28;237.400,00
ESTADO ;53.492;3.987.005,54;139.060,52;0,5315;28,67;2.119.056.239,10
FONTE: Acompanhamento Sistemático da Produção Agrícola-ASPA,Estado do Rio de Janeiro,2019-SISTEMA AGROGEO;;;;;;
Empresade Assistência Técnica e Extensão Rural do Estado do Rio de Janeiro-EMATER-RIO/CPLAN/NIDOC;;;;;;
;;;;;;
ORDEM Decrescente de FATURAMENTO;;;;;;
MUNICÍPIOS;Nº PRODUTORES ;PRODUÇÃO COLHIDA               (t);ÁREA COLHIDA  (ha)  ;PREÇO (R$/KG);PRODUTIVIDADE (t/ha);FATURAMENTO BRUTO (R$)
Teresópolis ;5.133;174.505,79;6.269,37;1,3554;27,83;236.530.276,00
São Francisco de Itabapoana ;2.107;822.821,50;24.678,80;0,2362;33,34;194.357.950,00
Sumidouro ;4.015;101.578,24;3.743,00;1,8801;27,14;190.980.904,60
Nova Friburgo ;2.808;66.088,75;2.341,28;2,1383;28,23;141.314.641,00
Campos dos Goytacases ;2.415;1.362.368,00;31.211,30;0,0788;43,65;107.338.520,00
São José do Vale do Rio Preto ;3.755;120.828,50;3.181,25;0,7186;37,98;86.827.100,00
Araruama ;479;262.653,15;6.300,45;0,2762;41,69;72.549.292,50
Bom Jardim ;4.428;58.966,10;3.126,50;1,1429;18,86;67.390.450,00
Rio Bonito ;678;45.680,50;2.747,00;1,3969;16,63;63.811.050,00
Cambuci ;552;29.121,70;809;2,186;36;63.659.250,00
Cachoeiras de Macacu ;1.893;48.397,90;3.352,50;1,1327;14,44;54.821.330,00
Rio de Janeiro ;1.042;46.744,88;2.855,47;1,0365;16,37;48.451.762,20
Porciúncula ;1.351;58.190,10;6.185,90;0,6652;9,89;38.705.855,00
Tanguá ;535;25.440,05;1.763,63;1,3507;14,42;34.361.501,50
Mangaratiba ;387;21.742,00;2.958,00;1,5543;7,35;33.793.100,00
Trajano de Morais ;890;18.257,46;1.022,54;1,7589;17,86;32.113.882,00
São Sebastião do Alto ;570;18.656,00;530;1,6792;35,2;31.327.440,00
Paraty ;424;3.739,40;388,67;7,8662;9,62;29.414.850,00
Varre-Sai ;1.703;8.192,99;5.679,61;3,5261;1,44;28.888.962,50
Duas Barras ;1.266;27.604,96;1.201,24;0,9844;22,98;27.174.478,00
Magé ;747;12.480,65;1.096,05;1,9938;11,39;24.883.917,50
São João da Barra ;716;18.481,10;771,7;1,2742;23,95;23.547.860,00
Seropédica ;527;13.236,70;1.302,55;1,713;10,16;22.674.690,00
São José de Ubá ;604;26.412,70;531,1;0,8485;49,73;22.409.900,00
Sapucaia ;639;19.379,00;749;1,1508;25,87;22.301.450,00
Duque de Caxias ;139;12.160,46;787,53;1,8318;15,44;22.276.027,00
Valença ;203;14.439,62;448,39;1,355;32,2;19.565.976,60
Quissamã ;156;56.805,45;1.721,49;0,3375;33;19.172.130,00
Paty do Alferes ;488;10.824,09;329,31;1,764;32,87;19.093.530,70
Paraíba do Sul ;237;10.608,86;235,79;1,7008;44,99;18.043.472,40
Petrópolis ;1.161;9.721,50;423,35;1,8246;22,96;17.737.450,00
Rio Claro ;191;7.161,55;536,15;2,3595;13,36;16.897.503,90
Santa Maria Madalena ;135;12.805,07;891,95;1,3058;14,36;16.720.909,90
Vassouras ;209;6.160,30;156,38;2,7125;39,39;16.709.750,00
Silva Jardim ;384;19.422,00;1.620,00;0,7963;11,99;15.465.050,00
Angra dos Reis ;261;1.905,00;200;7,4702;9,53;14.230.750,00
Itaocara ;728;12.877,50;548;0,9783;23,5;12.597.770,00
Italva ;648;24.189,50;641,75;0,5167;37,69;12.499.111,50
Japeri ;833;8.216,00;697,7;1,5056;11,78;12.369.820,00
Guapimirim ;215;9.800,20;931,9;1,1837;10,52;11.600.930,00
Barra Mansas ;152;5.638,35;322,34;1,7293;17,49;9.750.639,60
Cabo Frio ;114;118.340,10;3.037,90;0,0797;38,95;9.426.275,00
Santo Antônio de Pádua ;250;4.060,60;194;2,2196;20,93;9.012.920,00
Bom Jesus do Itabapoana ;429;3.123,52;966,19;2,7265;3,23;8.516.198,00
Itaguaí ;147;5.930,00;543;1,3929;10,92;8.260.100,00
São Gonçalo ;340;5.789,58;300,82;1,4142;19,25;8.187.675,00
Saquarema ;351;5.760,90;755,5;1,4055;7,63;8.097.100,00
Nova Iguaçu ;863;5.373,00;558,95;1,4575;9,61;7.830.920,00
Casimiro de Abreu ;330;5.414,44;458,7;1,3979;11,8;7.569.010,00
São Pedro da Aldeia ;175;56.946,66;889,67;0,1276;64,01;7.264.029,20
Itaperuna ;340;5.925,80;319,6;1,176;18,54;6.968.920,00
Miracema ;348;19.708,44;384,46;0,3359;51,26;6.620.697,50
Carmo ;431;26.988,51;578,1;0,243;46,68;6.559.081,50
Macaé ;190;7.380,11;1.083,19;0,8741;6,81;6.450.881,00
Piraí ;106;3.350,15;406,04;1,9183;8,25;6.426.613,00
São Fidélis ;735;10.327,47;454,91;0,5934;22,7;6.127.842,80
Cordeiro ;54;4.704,00;146,05;1,2498;32,21;5.879.200,00
Itaboraí ;201;4.650,95;371,86;1,2533;12,51;5.829.165,00
Volta Redonda ;161;1.539,40;87,45;3,2568;17,6;5.013.490,00
Aperibé ;179;2.364,00;159,5;1,815;14,82;4.290.600,00
Pinheiral ;69;1.448,11;160,87;2,3681;9;3.429.266,00
Natividade ;279;13.929,38;344,09;0,2134;40,48;2.972.388,00
Resende ;180;7.731,60;179,75;0,3759;43,01;2.906.232,00
Paracambi ;119;1.118,60;118,5;2,5676;9,44;2.872.100,00
Queimados ;213;1.991,56;133,33;1,3364;14,94;2.661.510,40
Quatis ;46;3.350,00;104,65;0,5889;32,01;1.972.775,00
Miguel Pereira ;27;796,13;40,48;2,2349;19,67;1.779.287,40
Barra do Pirai ;83;5.431,40;100,46;0,2827;54,07;1.535.675,00
Porto Real ;44;1.013,90;69,7;1,2442;14,55;1.261.475,00
Iguaba Grande ;74;475,8;59,5;2,0143;8;958.410,00
Rio das Flores ;92;4.247,95;110,75;0,2118;38,36;899.881,50
Cardoso Moreira ;146;8.065,73;210,95;0,105;38,24;846.841,00
Engenheiro Paulo de Frontin ;56;348;33,57;2,1497;10,37;748.100,00
Mendes ;28;221,3;20,05;3,125;11,04;691.559,50
Rio das Ostras ;72;373,6;78,9;1,7493;4,74;653.524,50
Macuco ;52;1.555,05;44,25;0,3782;35,14;588.050,00
Conceição de Macabu ;60;270,4;27,68;2,0308;9,77;549.140,00
Armação dos Búzios ;76;188,51;17,91;2,5411;10,53;479.026,00
Niterói ;21;307,4;16,2;1,4509;18,98;445.997,00
Três Rios ;12;244,01;18,78;1,6604;12,99;405.155,10
Cantagalo ;37;264,55;22,89;1,4291;11,56;378.067,50
Maricá ;68;409,79;59,46;0,8435;6,89;345.677,50
Carapebus ;58;804,7;67,5;0,3577;11,92;287.825,00
Areal ;10;189,65;15,77;1,4024;12,03;265.972,70
Laje do Muriae ;16;121,4;8,5;1,9555;14,28;237.400,00
Comendador Levy Gasparian ;6;125,82;12,2;1,5335;10,31;192.950,60
ESTADO ;53.492;3.987.005,54;139.060,52;0,5315;28,67;2.119.056.239,10
FONTE: Acompanhamento Sistemático da Produção Agrícola-ASPA,Estado do Rio de Janeiro,2019-SISTEMA AGROGEO;;;;;;
Empresade Assistência Técnica e Extensão Rural do Estado do Rio de Janeiro-EMATER-RIO/CPLAN/NIDOC;;;;;;
NOTA 1: As informações disponibilizadas foram obtidas por estimativa a partir de observações de campo dos extensionistas;;;;;;
lotados nas equipes locais da EMATER-RIO, por meio de contatos com os produtores rurais e suas organizações, sindicatos,;;;;;;
rurais, secretarias municipais de agricultura ou equivalentes, mercados locais atacadistas e varejistas do produtor rural, feiras;;;;;;
livres do produtor rural, comércio de insumos agropecuários, produtores de mudas e imagens de satélite do Google Earth.;;;;;;
NOTA 2: Segundo Ata da Diretoria Executiva da EMATER-RIO, em 15/01/2014, os municípios de Sapucaia ;;;;;;
e São José do Vale do Rio Preto, antes pertencentes à Região Sul, passaram para a Região Serrena.;;;;;;
Rio das Ostras, antes pertencente a Região Centro, passaram para a Região Norte, levando-se em conta as;;;;;;
Regiões Administrativas da EMATER-RIO.;;;;;;
